,nom_directors,ID_directors,STARmeter_directors,recompenses_directors,carriere_duree_directors,films_series_directors
140,MimiLeder,nm0001460,11993.0,0.0,37.0,29.0
141,BarryLevinson,nm0001469,6179.0,3.0,50.0,61.0
142,SidneyLumet,nm0001486,4277.0,3.0,72.0,58.0
143,AdrianLyne,nm0001490,12178.0,0.0,41.0,9.0
144,LuisMandoki,nm0001502,63414.0,0.0,40.0,18.0
145,JohnMcTiernan,nm0001532,2611.0,0.0,35.0,23.0
146,ToshiroMifune,nm0001536,4627.0,1.0,49.0,62.0
147,MikeNewell,nm0001565,13202.0,4.0,56.0,29.0
148,MikeNichols,nm0001566,8054.0,3.0,48.0,25.0
149,SydneyPollack,nm0001628,4797.0,3.0,48.0,52.0
150,SarahPolley,nm0001631,2140.0,1.0,38.0,53.0
151,AlexProyas,nm0001639,8493.0,0.0,36.0,16.0
152,VincentPerez,nm0001641,11983.0,1.0,37.0,82.0
153,RobertRodriguez,nm0001675,2780.0,3.0,31.0,55.0
154,GeorgeA.Romero,nm0001681,9330.0,1.0,49.0,34.0
155,PaulSchrader,nm0001707,3976.0,1.0,47.0,35.0
156,JoelSchumacher,nm0001708,6196.0,0.0,44.0,37.0
157,TilSchweiger,nm0001709,6744.0,0.0,30.0,91.0
158,DavidSchwimmer,nm0001710,1972.0,0.0,41.0,54.0
159,TonyScott,nm0001716,3707.0,1.0,47.0,28.0
160,TomShadyac,nm0001723,8613.0,0.0,24.0,11.0
161,BryanSinger,nm0001741,4203.0,3.0,33.0,28.0
162,CharlesMartinSmith,nm0001747,6633.0,0.0,46.0,57.0
163,StevenSoderbergh,nm0001752,2357.0,5.0,36.0,56.0
164,ToddSolondz,nm0001754,6410.0,2.0,33.0,13.0
165,BarrySonnenfeld,nm0001756,12074.0,0.0,39.0,28.0
166,BenStiller,nm0001774,708.0,0.0,37.0,113.0
167,WhitStillman,nm0001775,24091.0,2.0,31.0,11.0
168,GusVanSant,nm0001814,3089.0,6.0,57.0,56.0
169,PeterWeir,nm0001837,6063.0,4.0,44.0,20.0
170,JamesWhale,nm0001843,26839.0,0.0,10.0,18.0
171,FrancoZeffirelli,nm0001874,17591.0,1.0,72.0,38.0
172,DavidZucker,nm0001878,12488.0,0.0,43.0,17.0
173,EdwardZwick,nm0001880,1321.0,2.0,39.0,25.0
174,LarsvonTrier,nm0001885,2493.0,9.0,51.0,41.0
175,ChantalAkerman,nm0001901,16364.0,0.0,47.0,57.0
176,JosianeBalasko,nm0001929,32176.0,3.0,53.0,109.0
177,RomaneBohringer,nm0001960,31609.0,2.0,38.0,82.0
178,MichaelCaton-Jones,nm0001994,23371.0,1.0,31.0,18.0
179,Costa-Gavras,nm0002020,14366.0,15.0,62.0,38.0
180,RogerDonaldson,nm0002044,17085.0,0.0,46.0,23.0
181,DexterFletcher,nm0002077,2200.0,0.0,45.0,56.0
182,CarlFranklin,nm0002083,15624.0,2.0,45.0,43.0
183,JudithGodreche,nm0002105,3475.0,4.0,38.0,53.0
184,LasseHallstrom,nm0002120,8105.0,0.0,50.0,41.0
185,AgnieszkaHolland,nm0002140,15780.0,3.0,47.0,38.0
186,AlejandroAgresti,nm0002159,68587.0,0.0,25.0,18.0
187,GianniAmelio,nm0002167,91690.0,4.0,37.0,19.0
188,YvesAngelo,nm0002174,333900.0,3.0,42.0,13.0
189,AlexandreArcady,nm0002178,121854.0,2.0,51.0,21.0
190,FrancescaArchibugi,nm0002180,171406.0,1.0,40.0,20.0
191,JacquesAudiard,nm0002191,17786.0,31.0,47.0,20.0
192,PupiAvati,nm0002194,46015.0,0.0,53.0,41.0
