ID,star,STARmeter
nm2378577,Anita Kravos,241782
nm2603726,Paul Barbier,2067452
nm2147913,Tomer Steinhof,2032055
nm0407329,Choko Iida,224240
nm1404505,Maria Onetto,207310
nm3563631,Batia Bar,7256261
nm7695828,Do-Yeon Jeon,7587149
nm2759893,Ekateryna Rak,216768
nm3301394,Tedo Bekhauri,12317327
nm2362404,Thiago da Silva Mariz,5338985
nm1992817,Ben Hoscheit,782170
nm1463127,Lola Dewaere,14183
nm1912704,Saida Djoudi,8402105
nm2379528,John Axel Eriksson,447737
nm0094445,Pascal Bongard,1840018
nm3072467,Leora Barbara,556881
nm4794498,Simon Delagnes,7142443
nm0302020,Jean-Marie Galey,593683
nm3640837,Eduardo Granados,10906293
nm3218213,Patricia Chraskova,304790
nm3018114,Carole Brana,70965
nm3540035,Catherine Tanvier,1195829
nm3119499,Ziya Mirza Mohamad,547379
nm2804996,Nadir Eldad,5557463
nm10018645,Ian Curtis,236228
nm3756517,Bora Altas,154716
nm1243998,Hilaire Arasa,11074478
nm2858240,Rachel McIntyre,1583536
nm3010965,Villmar Bjorkman,544047
nm15663092,Yavuz Bingol,7016126
nm2789721,Arturo Goetz,6530105
nm3123109,Joaquin Aguila,1620899
nm11446528,Behrooz Jalili,2276695
nm8752314,Bob Marley,912048
nm0547732,Morgan Marinne,664413
nm4971490,Lou-Lelia Demerliac,2528119
nm0720743,Laetitia Reva,850707
nm6682917,Aman Bain,5564478
nm13979349,Liam James,1255463
nm2551393,Aaron Arefe,1109451
nm2919937,Nolberto Coria,12442030
nm0408093,Albina Imasheva,13039799
nm9038704,Mohammed Bakri,11874787
nm3313124,Anatole Vialard,11553612
nm0049658,Leonor Baldaque,837765
nm3068515,Reuven Badalov,2193642
nm3308253,Lino Milesi,1928573
nm14334490,Barack Obama,11019689
nm3648519,Tahar Aibi,8545427
nm2569290,Mirta Bogdasarian,5885042
nm11847450,Mohamed Ali,1842559
nm3905923,Miranda Colclasure,832386
nm1086769,Alnur Turgambayeva,3596008
nm0229105,Youssouf Djaoro,493096
nm15667298,Brian Meagan,9597716
nm1845027,Luca Capriotti,1195863
nm0028805,Pam Andrews,6313943
nm9043697,Manuel Alcala,4420349
nm1154750,Jose Bove,1302145
nm3816429,Lamia Boussekine,774015
nm3398352,Noe Sampy,1041681
nm4516422,Bengt Nilsson,10195885
nm3015033,Horacio Camandule,362751
nm0754416,Catalina Saavedra,59615
nm4086647,Razi Shawahdeh,4639677
nm6996153,Max Brebant,386045
nm11973821,Sabrina Muller,3417558
nm3756192,Vladimir Yavorsky,1413218
nm3560456,Roisin Grieco,1350790
nm3086235,Katie Jarvis,29991
nm1313751,Celine Bolomey,3221968
nm5978166,Liu Ye,10931745
nm3231359,Rowan McNamara,659650
nm3437715,Clemira Aguayo,12480919
nm3395559,Lisbeth Gruwez,1237173
nm3360446,Fouad Habash,11856175
nm2208490,Patrizia Gerardi,10949499
nm4070553,Guadalupe Alonso,866440
nm3361920,Nehuen Zapata,842978
nm0250574,Maricielo Effio,568118
nm3465716,Joao Gabriel Vasconcellos,121013
nm2965377,Simon Elbaz,10476151
nm0123042,Ron Burrage,906006
nm3437671,Cassandra Foret,1618059
nm3376940,Fikret Portakal,12182065
nm11159967,Yu Nan,966828
nm10685129,Patricio Guzman,2451970
nm3239179,Blanca Engstrom,239269
nm3216939,Nasri Sayegh,983867
nm3290683,Melaine Lebreton,10346431
nm1621861,Richard Winsor,71767
nm1717383,Thibault Vincon,248945
nm2200787,David Haddad,1079542
nm12806972,Jorge Machado,4170662
nm4302620,Juliette Damiens,7040260
nm6934315,Kafka,5487875
nm2020372,Amine Boumediene,9617540
nm3735588,Yo Hsuan Chao,11828211
nm3456321,Corinne Yam,224556
nm7749882,Ethel Kovinska,7159881
nm11972334,Michael Brodie,3201599
nm1264661,Maggie Frank,6726226
nm8091787,Monserrat Fernandez,7946619
nm10175026,Jian Cui,8007037
nm3627041,Aleksandra Okotetto,10392423
nm13860154,Amina Ahmed,9223604
nm3890057,Giuseppe Fuda,1180355
nm0126969,Erika Bok,120456
nm3914766,Lea Tissier,1019333
nm7878629,Khomotso Manyaka,12242125
nm0643904,Bruno Odar,1445991
nm0239345,Daniel Dublet,1510104
nm0026392,Barbara Anderson,10065
nm10541709,Richard Lord,12198215
nm2273474,Nanda Costa,55368
nm10413284,Madison Young,310911
nm12399289,Justin Bieber,11272739
nm11483199,Anna Halprin,3502636
nm0689436,Yossi Pollak,1126200
nm1235458,Nicolas Robin,117501
nm2803769,Guy McKnight,1057830
nm2909124,Valerie Nataf,3616462
nm0093649,Carolina Bona,228709
nm1731425,Quentin Grosset,9758394
nm2957324,Alina Levshin,33961
nm3121639,Pauline Lefevre,340312
nm2265277,Annabelle Hettmann,230348
nm1584283,Lauren Bittner,40982
nm2075208,Guillaume Denaiffe,389562
nm1671513,Marjut Maristo,444846
nm4280726,Paula Galinelli Hertzog,10490896
nm9915564,Alberto Laiseca,4940198
nm4288659,Mathilda Paradeiser,548633
nm4112068,William Ruffin,953029
nm1322735,Farid Elouardi,135216
nm4593082,Fehd Benchemsi,187447
nm3078715,Koki Maeda,699396
nm0623128,Dov Navon,132920
nm5602502,Stephane Nahal,2357166
nm0145505,Belgica Castro,1195532
nm14080543,Junsang Yu,8642924
nm0467927,Selma Kouchy,249959
nm3962166,Roee Elsberg,10198727
nm14810627,Natasa Petrovic,2538793
nm14558092,Sarah Ellison,3909558
nm5787342,Rickson Tevez,424463
nm1352670,Alexandre Marouani,985772
nm1253955,German De Silva,93480
nm4446056,Wu Yuchi,12657215
nm3919984,Anjela Nedyalkova,27567
nm10906443,Porfirio Ramirez Aldana,1509678
nm4442364,Franck Falise,1213046
nm4445696,Soufia Issami,1319625
nm4512197,Denis Burton,9693768
nm4502180,Danhui Mao,12704393
nm4512074,Tarek Aggoun,11819880
nm11017972,Lisa Bowman,8007962
nm1991216,Kenji Yamauchi,1016935
nm1349963,Arlette Chabot,5528449
nm0870945,Adriana Trandafir,540049
nm3710415,Naamah Alva,1505255
nm5248577,Yanis Bahloul,3711345
nm4132038,Takaaki Nomi,780359
nm4891270,Perrine Tourneux,1946823
nm4553908,Tsuyoshi Takano,5829106
nm4705883,Giacomo Zulian,9953783
nm4579666,Kelyna Lecomte,10348359
nm5025442,Yolanda Galocha,7520647
nm13613816,Bobo,3784270
nm0345741,Sonia Guedes,2582145
nm4442049,Armando Condolucci,481079
nm2337097,Gaye Gursel,237818
nm5097354,Celine Rajot,8915127
nm4356839,Sharareh Pasha,12673518
nm0739973,Ryszard Ronczewski,730926
nm2365927,Giovanna Daddi,3988487
nm4782407,Boris Beynet,5935989
nm4611083,Racim Zennadi,2271395
nm4622234,Raven Adamson,526776
nm3117945,Begum Akkaya,101572
nm0494287,Joel Lefrancois,285752
nm4444700,Aniello Arena,220485
nm15589381,Olgun Simsek,2132575
nm4877987,Cosimo Rega,2617452
nm4884029,Dariel Arrechaga,451508
nm10538350,David Nathan,4861955
nm4852594,Katalin Toldi,1858239
nm4677090,Joy Hille,13007802
nm4425740,Isidora Simijonovic,20100
nm2486268,Emile Berling,599282
nm4044843,Ania Svetovaya,9393761
nm5576173,Zinedine Benchenine,1564650
nm15613854,Arata,12445862
nm0072556,Laura Benson,66031
nm4283672,Pauline Parigot,417839
nm12902042,Rob Stanley,11679153
nm5368103,Azize Diabate Abdoulaye,1100668
nm5011867,Luis Carlos Guevara,11009970
nm1742752,Therese Clerc,1555085
nm5551244,Abdelhakim Rachid,230460
nm5343397,Souleymane Seye Ndiaye,411103
nm4317644,Anita Lecollinet,4267872
nm4770217,Nicolas Orzella,902946
nm4536815,Asia Naifeld,545413
nm5627847,Jean-Patrick Kone,13143718
nm4637023,Teresa Ramirez Aguirre,971724
nm5090101,Joghis Seudin Arias,1837980
nm5179652,Waad Mohammed,124184
nm1186879,Francois Hollande,220172
nm0389463,Maria Hofstatter,66324
nm1235082,Sebastian Arce,957616
nm3315901,Emir Seghir,3064621
nm3451483,Cindy Scrash,1181176
nm0845185,Teresa Sanchez,12223974
nm4723934,Nermina Lukac,137931
nm4976192,Julia Volpato,4040604
nm2807708,Andrea Brusque,1067570
nm5329884,Emmanuel Fakoko,2650236
nm2099014,Ia Sukhitashvili,373553
nm5176237,Dmitriy Kobetskoy,1947611
nm2802458,Paola Lattus,850001
nm15167455,Melanie Lenz,11530429
nm5632018,Souleymane Deme,3271113
nm5363996,Nader Sarhan,11612685
nm6493609,Margarita Saldana,8125816
nm5191340,Marina Kitaeva,2526046
nm2868978,Aurore Ugolin,7179298
nm5495693,Lou Aziosmanoff,10963934
nm4598219,Carole Hajj,559837
nm4098461,Alexis Zuniga,11288483
nm0315640,Luminita Gheorghiu,76166
nm5737267,Binda Ngazolo,1817124
nm5392442,Wajma Bahar,1010452
nm1092628,Defne Halman,281363
nm5167200,Timur Aidarbekov,1428617
nm1051211,Nicholas Winton,124861
nm5396986,Cathy Nouchi,6198339
nm3637666,Franck Trillot,12861921
nm1707812,Aurelio Cohen,803213
nm5695509,Elin Odegaard,9467134
nm2579025,Alexandre Guanse,1388358
nm10376938,Takeru Sato,2274159
nm0138013,Sara Carlson,378822
nm5712527,Nathan Bernat,10403247
nm5631763,Francois-Joseph Culioli,5525032
nm0274418,Pedro Ferreira,6499601
nm12048490,Gregory Cohen,6815998
nm5519350,Conner Chapman,175658
nm5753294,Ruben Verdyan,12385092
nm10663940,Ocean,4820442
nm5503428,Fatu Djebate,8241579
nm1361556,Jean-Marc Ravera,4842663
nm2380472,Joy Rieger,32772
nm2977493,Amir Ben Abdelmoumen,956578
nm6588204,Mohamed Dekhi,8016570
nm5503232,David Cunio,286828
nm1711344,Emilie de Preissac,59636
nm5807918,Sidney Goyvaertz,7864776
nm5567108,Frederique Barre,11145166
nm8451738,Martin Esposito,3471006
nm9379283,Ximena Ayala,6167456
nm5855960,Diana Avramut,1445752
nm5856482,David Merabet,13217550
nm6767851,Liang-yu Yang,1524093
nm6710649,Yu-mi Jeong,10214691
nm2907225,Josephine Jobert,2410
nm5409944,Lola Lasseron,517946
nm5853160,Samuel Lange Zambrano,357477
nm5575042,Dileepan,1230314
nm5864709,Jan Dieter Schneider,1207251
nm5961236,Guslagie Malanda,87735
nm3447387,Stephanie Cumming,592616
nm0433603,Gunnar Jonsson,174311
nm5990634,Digna Quispe,930562
nm6154227,Didier Michon,1378812
nm15223780,JR,4407297
nm5874824,James Saintil,1651210
nm12762898,Halima Benhamed,8989063
nm6537165,Christine Armanger,891309
nm2201022,Reece Ritchie,17243
nm0218884,Marie Denarnaud,82517
nm0339008,Mark Greenfield,665095
nm5411225,Miray Akay,38637
nm2317224,Jean-Jacques Rausin,172385
nm3065133,Giulia Salerno,352871
nm0488686,Sarit Larry,507856
nm6148078,Harmandeep Palminder,1857418
nm5109749,Michel Diercks,161502
nm5953719,Said Mrini,570340
nm4694013,Vanesa Prieto,8545232
nm6296589,Nais El Fassi,8803121
nm6222090,Ramasan Minkailov,3018562
nm6158375,Nick Cave,1738059
nm6615039,Alexi Mathieu,1529762
nm1295960,Jan Debski,13236552
nm3446962,Stefen Eynius,1420709
nm1152485,Olivier Aubin,957176
nm0598166,Wendy Moniz,2489
nm5998777,Athalia Routier,644385
nm10775528,Masahiro Yoshino,3069310
nm0131264,Maria Celia Camargo,6716959
nm3026010,Angelique Litzenburger,430689
nm6444775,Ana Neborac,215357
nm5155912,Kevin Shen,11840044
nm6340784,Emmanuel Vilsaint,9610825
nm6517264,Brayan Santamaria,10097047
nm2061734,Florian Carove,4346581
nm6541296,Maayan Turjeman,271293
nm0536697,Maha,13208541
nm12540829,Justin Wang,7731271
nm6447086,Klaudia Dudova,523503
nm2310997,Eve Bitoun,654400
nm6568417,Cassandra Dumitru,1698061
nm5926430,Nidhi Jha,219554
nm7278099,Ange Dargent,493558
nm2684816,Constance Rousseau,150889
nm3444964,Sylvain Mounier,3659065
nm7915320,Zied Ayadi,6638346
nm4087346,Gaetan Vettier,285145
nm6512672,Stephan Petit,3723692
nm6579573,Rephael Ghrenassia,207416
nm5157609,Milouda Chaqiq,2923368
nm0131603,James Cameron,1661850
nm6714626,David Thielemans,977139
nm7941325,Nurlybek Saktaganov,12077722
nm6523679,Dominique Leborne,12639969
nm5847990,Michelangelo Passaniti,1831870
nm2353447,Ventura,7099281
nm12885289,Lu Zhong,6476816
nm6680107,Romain Paul,368560
nm6665695,Chann Aglat,779233
nm6481337,Vira Sathidar,536365
nm6397793,Armando Valdes Freire,442133
nm6671992,Jovan Alexis Marquinez,5341711
nm0331479,Margita Gosheva,158502
nm3253771,Matheus Fagundes,226895
nm1557309,Antoine Rigot,3773998
nm6530622,Gael Sall,12541261
nm0851863,Ahmed Taybi,8090453
nm1682618,Isabelle Caillat,127675
nm6060296,Soufiane Adjadji,3804575
nm12170442,Ana Geislerova,3795940
nm12287738,Simon Voss,9026021
nm6478253,Liang Ming,2161091
nm6592336,Nikita Kukushkin,202494
nm0059656,Claudine Baschet,756747
nm13471559,John Reddy,12123395
nm14158968,Fatouma Diallo,13112548
nm7020065,Jean-Yves Arrive,9257492
nm2446786,Matteo Creatini,689003
nm6822222,Rebecka Josephson,544014
nm5796600,Kailin Tang,6238980
nm5343082,Pascale Habib,8166752
nm10599753,Anastasia Shevtsova,4261392
nm7108250,Devon Keller,494675
nm6979926,Samuel Vincent,11173637
nm13361036,Thomas Blanchard,8381576
nm6123215,Howard Zinn,9465141
nm7197190,Toki Pilioko,10596555
nm7609678,Luce Rodriguez,854573
nm6352828,Aleksey Tryapitsyn,1635774
nm13703276,Nelly Karim,197916
nm1880499,Armelle Berengier,781978
nm11972235,Sara Najafi,10679527
nm6854275,Elena An,202933
nm1196107,Jana Raluy,273020
nm1931205,Hiromi Asai,3663450
nm6825967,Daniela Vega,11863065
nm7355704,Balamine Guirassy,12606542
nm7308369,Haimer Leal,12302887
nm6603853,Liv Henneguier,723010
nm7327253,Loubna Abidar,53753
nm2843100,Crista Alfaiate,232400
nm11977963,Karen Torres,744111
nm1576284,Amruta Subhash,55190
nm7556536,Sophie Richelieu,11612969
nm6531619,Devi Couzigou,1584178
nm12515429,Emma Jaubert,1445640
nm0330184,Fiona Gordon,1101822
nm2410443,Olivia Corsini,1954194
nm7398521,Sachie Tanaka,466755
nm2907222,Theo Costa-Marini,197160
nm6551426,David Mourato,554401
nm8426078,Marie Wawa,1033431
nm8411757,Cydel Gabutero,741896
nm7513399,Royalty Hightower,183666
nm6449075,Shani Klein,161676
nm6951861,Edouard Tremblay-Grenier,329216
nm7905387,Shide Nyima,12663209
nm13192396,Amrit Maghera,1487476
nm6558707,Anna Chirescu,4583983
nm8612387,Matteo Perez,587004
nm7830169,Nastasjia Sojcher,6667832
nm7617284,Jennifer Rihouey,1202813
nm7267984,Feiyang Luo,1924647
nm6793763,Julia Palha,52375
nm11432882,Yuko Sato,3078374
nm7841387,Miloud Nasiri,9105830
nm2027996,Pepe Rovira,6426165
nm1139516,Jane Lesley,6365652
nm7812056,Valerie Chatain,12955768
nm5027906,Victor Ezenfis,1414270
nm8119174,Sobon Nuon,8246626
nm7230835,Lamis Ammar,178127
nm15602400,Yoshiki,10257384
nm2497565,Raffaele Pinto,5081746
nm7914358,Naomi Nero,899755
nm7202562,Jean-Marc Rouillan,1786352
nm7211210,Clarisse Djuroski,2493826
nm8292247,Sandra Escacena,22119
nm8004100,Gustavo Borjas,1924559
nm7146920,Julia Lubbert,128847
nm7297528,Tarek Halaby,13150037
nm4050246,Johnny Rasse,1032142
nm2593316,Javier Mendo,1370784
nm10088143,Johnny Ortiz,7440898
nm8348824,Julienne Goeffers,7461727
nm5619307,Jeanne Jestin,964743
nm6490999,Tomas Arriagada,12031309
nm2218544,Vanessa Scalera,76400
nm11536515,Pamela Ramos,11866579
nm8124723,Naomie Vogt-Roby,5761157
nm5193387,Miquel Barcelo,3279435
nm6633542,Natalya Pavlenkova,180213
nm7418204,Sebastian Van Dun,385251
nm4543532,Aude Bourrier,6324936
nm2227887,Hanan Hillo,46148
nm8030915,Barakat Jabbour,1537991
nm3802039,Yilin Yang,641900
nm7189100,Patrice Planesse,11974012
nm7025722,Daniel Vannet,4344889
nm8035632,Aissatou Dia,6483050
nm4143658,Raed Yassin,8239469
nm6309020,Julia Zange,521829
nm5056249,Vasilina Makovtseva,478204
nm3539159,Maryana Spivak,17352
nm4454866,Jessica Morali,1746501
nm4329320,Vincent Cheikh,10833027
nm0935876,Vincent Winterhalter,80473
nm9847221,Alexandre Astier,9363386
nm2508194,Frank Semelet,9300752
nm2164826,Eric Dupond-Moretti,1265777
nm7759387,Jimmy Labeeu,996294
nm0541796,Tassadit Mandi,485823
nm8273844,Khaled Abdulahi,6088821
nm0284869,Elodie Fontan,14363
nm6733156,Lina El Arabi,41329
nm10334193,Subenja Pongkorn,823363
nm3709976,Tairo Caroli,1183687
nm8331032,Maria Angelica Puerta,12673740
nm0798446,Michael Silva,9137044
nm7976766,Serge Renou,3408046
nm7719608,Jean-Claude Gauthier,2040097
nm7654483,Virgile Hanrot,13100477
nm6061255,Nicolas Duran,198357
nm6706672,Carol Duarte,22360
nm1739904,Jean-Christophe Folly,136064
nm10712072,Idir Ben Addi,456093
nm14806766,Dimitris Kitsos,2078815
nm7803801,Lene Cecilia Sparrok,159689
nm0528268,David Lynch,243134
nm14648097,Marco Todisco,3925391
nm8621438,Karim El Hayani,7076984
nm2105598,Sandrine Nicolas,11998374
nm6434639,Mona Hackel,12653248
nm4791356,Timothy Cordukes,188550
nm9862858,Zain Al Rafeea,29455
nm4311293,Ia Shugliashvili,252843
nm8587050,Khaled Alouach,308092
nm0563254,Arthur Mazet,234203
nm2362660,Julia Piaton,31921
nm8322559,Amelie Paulmier,10303301
nm8649221,Bong,1675498
nm7312806,Aomi Muyock,9516
nm8668507,Menashe Lustig,39839
nm3657280,Mathieu Lardier,1911952
nm7891978,Win Thiri New,10326632
nm10704171,Jean Ziegler,1097303
nm0300470,Bonaventure Gacon,10884558
nm9643187,Gari Otamendi,2043373
nm9017723,Salima Abada,8684926
nm8814697,Makan Nathan Diarra,1150944
nm9862387,Xueqin Liang,774130
nm10291780,Lionel Louis Basse,806268
nm8829055,Camilo Castiglione,6761096
nm7386805,Andranic Manet,161273
nm1548080,Emeline Bayart,209662
nm10098747,Jamil Idrissi,5387579
nm6944307,Thomas Doisy,11242324
nm2218538,Daniely Francisque,3436559
nm4973690,Julien Bourdel,1424655
nm4910907,Kevin Boise,2801502
nm3772731,Thierry Simon,10951564
nm11507993,Tatiana Rojo,4174058
nm2579244,Sonia Couoh,100430
nm2639430,Virginia Davis,9286952
nm8025915,Meinhard Neumann,259077
nm9033059,Darya Zhovner,304495
nm5684682,Hania Amar,175833
nm7416093,Reza Akhlaghirad,228796
nm8116327,Gavril Dartevelle,749520
nm8604638,Arash,11945708
nm9146007,Sarah Bramms,350242
nm8586486,Asher Lax,690506
nm2929871,Elmira Rafizadeh,533948
nm8989758,Julia Jedlikowska,755895
nm6515867,Jose Smith Vargas,11082832
nm6395915,Meriem Medjkane,336800
nm9840685,Andrea Fandos,178168
nm2908430,Anouk Feral,208392
nm6042347,Naomi Biton,4988274
nm8477684,Matias Encinas,11657315
nm5947216,Amelie Mbaye,1354459
nm0542887,Michael Mann,799851
nm0223602,Mohamed Dhrif,1821932
nm0317286,Karina Gidi,209298
nm6521934,Sergei Philippenko,1554605
nm8856636,Milena Csergo,2128681
nm9208932,Mimmo Borrelli,1267233
nm14873651,Wen Qi,3509284
nm0528824,Veronica Lynn,721723
nm9151963,Severine Jonckeere,1695489
nm9176797,Maria Mozhdah,255689
nm9722097,Elena Andrada,7364632
nm10509265,Fathia Youssouf,100253
nm0756028,Issei Sagawa,127446
nm9253241,Takara Kogawa,1294831
nm10743148,Laure Duchene,2414614
nm9416020,Cedric Senatore,5862755
nm7288787,Missia Piccoli,11148613
nm3053827,Marleyda Soto,1429161
nm4224048,Ardalan Esmaili,32900
nm9650423,Djibi Diakhate,4424216
nm9985724,Andra Guti,731347
nm8898470,John McEnroe,9451472
nm4322732,Jules Benchetrit,226833
nm9463575,Bruno Dauphin,3546653
nm9389102,Theo Galvalisi,9538638
nm1511731,Jose Acosta,4940821
nm1104889,Pablo Cobo,11361483
nm5423167,Maialen Eyherabide,8601266
nm8390021,Thomas Gioria,272546
nm9097347,Sharifa Pearlsia Ali-Dans,1720465
nm3473085,Frederic Siuen,1749162
nm6476071,Sophie Breyer,156177
nm9497120,Cleo Demoustier,13091376
nm10395866,Tom Mercier,36446
nm6140641,Bond Mgebrishvili,236450
nm9590579,Ana Brun,783128
nm12231355,Leticia Kacperski,9353771
nm8473094,Mikhail Aprosimov,1933738
nm9582832,Shico Menegat,606385
nm5241898,David Arribe,959221
nm6741360,Teri Rogers,168384
nm0586712,Egle Mikulionyte,2114504
nm1758069,Pablo Salas,12806152
nm8946110,Martin Serner,1071950
nm0859242,Michael Thomas,11349448
nm4683400,Philippe Tlokinski,222407
nm7861765,Harry Gilby,18531
nm10878985,Regis Myrupu,4544057
nm9760132,Victor Polster,36295
nm9948873,Maha Alemi,490098
nm9700374,Brent Vermeulen,250682
nm6904546,Dinara Baktybaeva,579334
nm0843763,Zsofia Szamosi,109784
nm9029751,Felix Maritaud,36310
nm6352270,Paul Delbreil,12730801
nm9815399,Matilde Hernandez,3349878
nm0285907,Tom Ford,1360680
nm4662933,Samal Yeslyamova,159645
nm15466830,Damla Sonmez,8351125
nm5387688,Nathalie Van Tongelen,8687661
nm1067600,Rocio Molina,304509
nm6840485,Madi Belem,739069
nm5531439,Gracija Filipovic,34790
nm10098452,Zea Duprez,468719
nm8695039,Serge Blazevic,10273585
nm10081741,Estelle Graczyk,4550604
nm3298969,Michael Bier,6578012
nm10160852,Catherine Carteret,8494620
nm9352978,Benjamin Sulpice,9380545
nm5504370,Marguerite Bouchard,438939
nm1109828,Menachem Lang,7879409
nm2422604,Thomas Guy,4125975
nm9809276,Mya Bollaers,388395
nm10003202,Judy Hill,177779
nm11128530,Gaston Ouedraogo,1745825
nm10413970,Mina Farid,72446
nm0808123,Ella Smith,6633896
nm7404047,Christine Sonderris,242915
nm12001205,Xiaoyi Liu,10375118
nm8369807,Jinpa,361959
nm10061242,Noe Wodecki,168279
nm3873056,Matej Zemljic,67572
nm10132336,Nguyen Phuong Tra My,211491
nm10145487,Christo,3434129
nm15457554,Laurence Dubois,3346570
nm9895276,Martun Ghevondyan,11995063
nm12050070,John Chester,5562217
nm4452491,Yoel Rozenkier,378933
nm6363733,Yura Sato,4803028
nm8589627,Mutamba Kalonji,938413
nm10974890,Dimitri Dore,267178
nm12496229,Samuel Gonzalez,11637839
nm10823535,Manika Auxire,1380951
nm1907967,Arndis Hronn Egilsdottir,93774
nm10268975,Qurban Sabir,6442828
nm5777835,Loic Massicot,10988769
nm10020226,Mikael Goncalves,11877858
nm2568657,Elisa Carricajo,536442
nm10252093,Guang Huo,912580
nm10289762,Shuzhen Zhao,66110
nm6776467,Ben Platt,13100787
nm3351819,Eran Naim,11472768
nm15637821,Emilie Bierre,1434185
nm4725019,Zejhun Demirov,252683
nm15543569,Theo Christine,5101788
nm9653682,Zorica Nusheva,738515
nm10393915,Dulamjav Enkhtaivan,1172154
nm10421488,Verida Beitta Ahmed Deiche,4346397
nm9136138,Coline Chantrel,3327086
nm10784127,Carolina Sanin,11986863
nm7343304,Pierre Antonetti,4870741
nm8272878,Sandra Drzymalska,52195
nm10135530,Pamela Mendoza,521489
nm11430818,Anais Grala Wegner,3189149
nm7108471,Kelly Crifer,6476196
nm10132997,Ludovic Douare,6084365
nm12776646,Wendy Chinchilla Araya,219272
nm10633315,Agathe Bosch,829083
nm11180369,Samuel Skyva,836170
nm12071871,Zakaria Inan,856434
nm0126524,Miklos Bacs,11288924
nm10636372,Slimane Benouari,5529332
nm8681763,Smashleen Gutierrez,11207788
nm10780425,Chiken Kawaguchi,5134358
nm0136786,Alice Carel,961263
nm3095395,Aleksey Solonchev,1163431
nm8965019,Francis Soetens,10912565
nm10814833,Maria Morera,75698
nm15739190,Bertrand Delanoe,6364396
nm11680875,Alseni Bathily,475701
nm0673643,Vincente Perez,4675160
nm5630493,Soraya Hachoumi,9886307
nm11034567,Eric Nantchouang,671985
nm8639079,Florence de Paz,3214801
nm10196565,Bukky Bakray,61302
nm11583171,Aliocha Reinert,222275
nm10186453,Stav Almagor,10186729
nm11085086,Andreas Becker,10617382
nm10438512,Mustafa Shehata,476183
nm7532240,Monika Naydenova,12427146
nm1763788,Charles Pepin,1017246
nm11157913,Philip Berlin,3412797
nm9418318,Aram Arakelyan,758645
nm11366967,Tallulah Cassavetti,182164
nm11094745,Roberta Rangel,7538721
nm0265610,Michelle Fairley,3137
nm0056436,Chantal Baroin,1063596
nm10472273,Lalo Santos,152470
nm5343367,Saikou Lo,4777146
nm7553023,Adrian Rossi,324830
nm13591013,Jhojan Estiven Jimenez,1725075
nm10075294,Sawsan Abes,1385989
nm5977108,Laurent Voiturin,4463492
nm13118042,Sverre Rous,268661
nm7633590,Clemence Camus,2080070
nm8890163,Ariane Louis,12543114
nm9936647,Sharon Fontaine-Ishpatao,1088657
nm10163216,Frankie Box,437522
nm10931593,Flaka Latifi,1975977
nm11707374,Abdel Bendaher,1078160
nm12547831,Kayije Kagame,168198
nm8668994,Clara Couturet,350594
nm6962458,Rita Burkovska,1138146
