director,director_id
Tim Burton,nm0000318
J.A. Bayona,nm1291105
Le-Van Kiet,nm2616669
Oleg Trofim,nm8251673
Marçal Forés,nm2253409
Julio Medem,nm0575523
Masahiro Hosoda,nm0396075
William Cottrell,nm0183183
Tim Miller,nm1783265
Wes Craven,nm0000127
Patrick Hughes,nm0400850
Nancy Meyers,nm0583600
George Lucas,nm0000184
Nicolás Onetti,nm6218837
Gary Auerbach,nm0041707
Jonathan Liebesman,nm0509448
Damien Power,nm2010936
Sophia Banks,nm4477065
Matthew Gentile,nm4244841
Chee Keong Cheung,nm1639452
Bill Condon,nm0174374
Chris Bailey,nm0047193
Anna Gutto,nm2008031
Kyle Newacheck,nm1760830
Ayataka Tanemura,nm9734896
Rob Reiner,nm0001661
Byung-gil Jung,nm3468066
Catherine Hardwicke,nm0362566
David Gordon Green,nm0337773
John Krasinski,nm1024677
Dean DeBlois,nm0213450
Todd Phillips,nm0680846
Taylor Sheridan,nm0792263
David Pastor,nm0665041
Clint Eastwood,nm0000142
Adrian Lyne,nm0001490
Theodore Melfi,nm0577647
Christopher McQuarrie,nm0003160
Paul Shoulberg,nm2749225
Dmitriy Dyachenko,nm2979103
Cary Joji Fukunaga,nm1560977
Patty Jenkins,nm0420941
Mohammed Mishat,nm14368443
Thea Sharrock,nm4824763
Sarah Spillane,nm1417049
Alessandro Genovesi,nm3500190
Zach Cregger,nm1199107
Rich Moore,nm0601781
Angus MacLane,nm0533691
Rob Jabbaz,nm5983101
Silas Howard,nm1036574
Luis Pinheiro,nm2998472
Tom Harper,nm2197777
Sam Macaroni,nm1098377
Oriol Paulo,nm1079062
Steven Spielberg,nm0000229
Jessica M. Thompson,nm3701612
Marc Forster,nm0286975
Robert Lorenz,nm0520749
Craig Tudor James,nm3491677
Wes Anderson,nm0027572
Laurent Bouhnik,nm0099324
Masashi Koizuka,nm2967345
Mark Osborne,nm0651706
José Padilha,nm0655683
Dana Kjeldsen,nm12257354
Zack Snyder,nm0811583
Roland Emmerich,nm0000386
Ryuichi Yagi,nm2395339
Fernando González Molina,nm2692858
Nathan Greno,nm1977355
Benjamin Renner,nm2883649
Brad Peyton,nm0679031
Jordan Peele,nm1443502
Adrian Grunberg,nm0344496
Neill Blomkamp,nm0088955
Elizabeth Allen Rosenbaum,nm0020491
Josh Gordon,nm0330347
Cate Shortland,nm0795153
Rob Schmidt,nm0003343
Max Davidse,nm4636104
Andrew Niccol,nm0629272
Billy Dickson,nm0225621
Gary Trousdale,nm0873779
Matteo Garrone,nm0308520
Raja Gosnell,nm0331532
D.J. Caruso,nm0142286
Matthew Vaughn,nm0891216
Gail Mancuso,nm0541562
Stuart Hazeldine,nm0371955
Adam Wingard,nm1417392
Keenen Ivory Wayans,nm0005540
Eric Darnell,nm0201509
Tim Hill,nm0384722
Adil El Arbi,nm4816401
Sylvester Stallone,nm0000230
Thomas M. Wright,nm0942876
Frank Darabont,nm0001104
Frant Gwo,nm4914792
Mitsuo Hashimoto,nm0973260
Kasi Lemmons,nm0501435
Chris Sanders,nm0761498
Oran Zegman,nm6250496
Ben Simms,nm2608998
Miguel Sapochnik,nm0764601
David Slade,nm1720541
Tate Taylor,nm0853238
Alessandro Carloni,nm1868917
Maxwell Atoms,nm1027050
Jae-Hoon Choi,nm9075613
Robert Stromberg,nm0834902
Adam Gunn,nm1979385
Phillip Noyce,nm0637518
Scott Hicks,nm0382956
Pierre Morel,nm0603628
Mike P. Nelson,nm2298645
Steven S. DeKnight,nm0215299
Oliver Park,nm2113474
Bobs Gannaway,nm0304432
Mike Flanagan,nm1093039
Jennifer Yuh Nelson,nm0950775
Brandon Cronenberg,nm0188722
Kook-Hee Choi,nm8509498
Andrew Stanton,nm0004056
Rob Savage,nm3699074
Roy Hin Yeung Chow,nm3469952
Anthony Hayes,nm0370892
Ron Yuan,nm0950620
Chris Appelhans,nm2282774
Scott Stewart,nm0829820
James DeMonaco,nm0218621
Paris Barclay,nm0054077
Santiago Fillol,nm3277567
Matthew Warchus,nm0911334
Steven Soderbergh,nm0001752
Gina Prince-Bythewood,nm0697656
Guillaume Canet,nm0133899
Akiva Schaffer,nm1676223
Mark Williams,nm0931251
Jordan Vogt-Roberts,nm3611349
Paul W.S. Anderson,nm0027271
Hyeon Na,nm1593802
David Blue Garcia,nm2596725
Jesse V. Johnson,nm0425364
Olivier Megaton,nm0576298
David Silverman,nm0798899
Kelly Asbury,nm0038432
Ngai Choi Lam,nm0482670
Andrew Hunt,nm2133257
Luke Greenfield,nm0339004
Josh Cooley,nm2155757
Toshiharu Ikeda,nm0407466
Jo Ba-Reun,nm12682242
Jamie Payne,nm0668350
Brendan Muldowney,nm1119099
Mark Neveldine,nm0004410
Anya Adams,nm1449136
James Algar,nm0019282
Louise Friedberg,nm0295003
Naoko Yamada,nm2210720
Brad Anderson,nm0026442
Brian De Palma,nm0000361
Brad Turner,nm0877427
Quentin Tarantino,nm0000233
Chris Williams,nm0930261
Han-min Kim,nm3482943
Mary Harron,nm0366004
Jake Kasdan,nm0440458
Lok Kwan Woo,nm7944995
George P. Cosmatos,nm0181902
Howard J. Ford,nm0285683
Mark Andrews,nm0028764
Michael Mann,nm0000520
Peter Atencio,nm1534595
Jeremiah Zagar,nm1476102
Jeff Wamester,nm5208146
Kirk DeMicco,nm0210320
Stephen Sommers,nm0814085
Rodrigo Estrada Alday,nm2445035
Brian Baugh,nm0061982
Evan Spiliotopoulos,nm0818746
David Moreau,nm1219963
Dennis Dugan,nm0240797
J.J. Abrams,nm0009190
Pierre Coffin,nm1853544
Carlos Saldanha,nm0757858
Everardo Gout,nm0332740
Lee Toland Krieger,nm1767218
Genndy Tartakovsky,nm0850733
Millicent Shelton,nm0791381
Ivan Kavanagh,nm2830839
Phil Johnston,nm1601882
Timur Bekmambetov,nm0067457
Rian Johnson,nm0426059
Ric Roman Waugh,nm0006846
John McTiernan,nm0001532
Les Clark,nm0164203
Paloma Baeza,nm0046469
Chris Renaud,nm0719208
Kevin Ko,nm3003609
Rupert Wyatt,nm1012501
Chris Weitz,nm0919363
Steve Martino,nm0553942
James Kelley,nm0445916
Tetsuo Yajima,nm4114096
Olivier Nakache,nm0619923
Sang-ho Yeon,nm3613566
Victor Salva,nm0759207
Roberto Benigni,nm0000905
Roel Reiné,nm0004152
Adrian Langley,nm1454995
Karyn Kusama,nm0476201
Byoung-Wook Ahn,nm4843792
Justin Baldoni,nm1682573
Elisabeth Röhm,nm0737533
James McTeigue,nm0574625
Jason Reitman,nm0718646
Christian Ditter,nm0228542
Cate Devaney,nm3588966
Park Chan-wook,nm0661791
Fede Alvarez,nm1793079
Barry Sonnenfeld,nm0001756
Viktor Glukhushin,nm3065869
Matt Peters,nm1602528
Aaron Blaise,nm0086431
Matt Carter,nm4776740
Dan Scanlon,nm0768959
Michael Dougherty,nm1002424
Nick Cassavetes,nm0001024
Gus Van Sant,nm0001814
Sally El Hosaini,nm2260751
Wolfgang Reitherman,nm0718627
Sebastián Lelio,nm0133326
Bong Joon Ho,nm0094435
Luc Besson,nm0000108
Edward Zwick,nm0001880
Danny DeVito,nm0000362
Daisuke Nishio,nm0632788
Frank Coraci,nm0178997
Santiago Mitre,nm1377207
Gary Dauberman,nm2477891
Peter Berg,nm0000916
Olivia Wilde,nm1312575
Bradley Cooper,nm0177896
William Friedkin,nm0001243
Reinhard Klooss,nm0459996
Sang-yong Lee,nm4037204
Takehiko Inoue,nm2547182
Cecil B. DeMille,nm0001124
Luca Guadagnino,nm0345174
Orlando Herrera,nm3621147
Jon Turteltaub,nm0005509
Walter Hill,nm0001353
Kirk Jones,nm0428600
Kunihiko Yuyama,nm0951197
Gabor Csupo,nm0190780
Morten Tyldum,nm0878763
Oleh Malamuzh,nm4871153
Keanu Reeves,nm0000206
Anna Boden,nm1349818
RJ Collins,nm0172614
Svyatoslav Podgaevskiy,nm5276483
Michel Gondry,nm0327273
Yasuhiro Yoshiura,nm3602074
Dave Green,nm1757777
Dave Needham,nm2554464
Sean Anders,nm1890845
George Miller,nm0004306
Alex Kendrick,nm1731937
Brett Donowho,nm0233078
Léa Mysius,nm5674565
David R. Ellis,nm0254786
McG,nm0629334
Catherine Breillat,nm0106924
