ID,Director,STARmeter
nm1572716,Danila Kozlovskiy,10496
nm1461392,Joachim Rønning,11680
nm0138927,Niki Caro,29135
nm0923736,Joss Whedon,5113
nm0862911,Greg Tiernan,118181
nm0284744,Jesús Font,294300
nm6995804,Mehdi Avaz,58615
nm0783139,Henry Selick,12402
nm0051643,Tony Bancroft,87581
nm5735886,Diego Freitas,97198
nm1760759,Matt Eskandari,80919
nm0850212,Michele Massimo Tarantini,252402
nm0000318,Tim Burton,769
nm1291105,J.A. Bayona,1732
nm2616669,Le-Van Kiet,87783
nm8251673,Oleg Trofim,276369
nm2253409,Marçal Forés,98949
nm0575523,Julio Medem,36291
nm0396075,Masahiro Hosoda,679238
nm0183183,William Cottrell,232771
nm1783265,Tim Miller,12371
nm0000127,Wes Craven,7593
nm0400850,Patrick Hughes,25839
nm0583600,Nancy Meyers,4823
nm0000184,George Lucas,4744
nm6218837,Nicolás Onetti,161413
nm0041707,Gary Auerbach,266438
nm0509448,Jonathan Liebesman,28425
nm2010936,Damien Power,87119
nm4477065,Sophia Banks,79424
nm4244841,Matthew Gentile,118557
nm1639452,Chee Keong Cheung,76498
nm0174374,Bill Condon,16050
nm0047193,Chris Bailey,126832
nm2008031,Anna Gutto,107584
nm1760830,Kyle Newacheck,15945
nm9734896,Ayataka Tanemura,564853
nm0001661,Rob Reiner,2188
nm3468066,Byung-gil Jung,78321
nm0362566,Catherine Hardwicke,11618
nm0337773,David Gordon Green,7443
nm1024677,John Krasinski,539
nm0213450,Dean DeBlois,11648
nm0680846,Todd Phillips,3724
nm0792263,Taylor Sheridan,207
nm0665041,David Pastor,110733
nm0000142,Clint Eastwood,225
nm0001490,Adrian Lyne,13328
nm0577647,Theodore Melfi,24103
nm0003160,Christopher McQuarrie,4403
nm2749225,Paul Shoulberg,171262
nm2979103,Dmitriy Dyachenko,263452
nm1560977,Cary Joji Fukunaga,979
nm0420941,Patty Jenkins,12953
nm14368443,Mohammed Mishat,10254478
nm4824763,Thea Sharrock,30254
nm1417049,Sarah Spillane,115884
nm3500190,Alessandro Genovesi,245716
nm1199107,Zach Cregger,9864
nm0601781,Rich Moore,29490
nm0533691,Angus MacLane,57509
nm5983101,Rob Jabbaz,38440
nm1036574,Silas Howard,89385
nm2998472,Luis Pinheiro,412208
nm2197777,Tom Harper,29235
nm1098377,Sam Macaroni,64860
nm1079062,Oriol Paulo,13808
nm0000229,Steven Spielberg,262
nm3701612,Jessica M. Thompson,40878
nm0286975,Marc Forster,10638
nm0520749,Robert Lorenz,21625
nm3491677,Craig Tudor James,1427583
nm0027572,Wes Anderson,435
nm0099324,Laurent Bouhnik,70247
nm2967345,Masashi Koizuka,387703
nm0651706,Mark Osborne,51500
nm0655683,José Padilha,25862
nm12257354,Dana Kjeldsen,1943976
nm0811583,Zack Snyder,1966
nm0000386,Roland Emmerich,4463
nm2395339,Ryuichi Yagi,413580
nm2692858,Fernando González Molina,124962
nm1977355,Nathan Greno,65987
nm2883649,Benjamin Renner,23795
nm0679031,Brad Peyton,19690
nm1443502,Jordan Peele,640
nm0344496,Adrian Grunberg,33156
nm0088955,Neill Blomkamp,3920
nm0020491,Elizabeth Allen Rosenbaum,48534
nm0330347,Josh Gordon,55811
nm0795153,Cate Shortland,36916
nm0003343,Rob Schmidt,83179
nm4636104,Max Davidse,296036
nm0629272,Andrew Niccol,9615
nm0225621,Billy Dickson,526738
nm0873779,Gary Trousdale,65292
nm0308520,Matteo Garrone,9249
nm0331532,Raja Gosnell,29618
nm0142286,D.J. Caruso,17585
nm0891216,Matthew Vaughn,78
nm0541562,Gail Mancuso,33552
nm0371955,Stuart Hazeldine,72645
nm1417392,Adam Wingard,12809
nm0005540,Keenen Ivory Wayans,9771
nm0201509,Eric Darnell,68670
nm0384722,Tim Hill,48922
nm4816401,Adil El Arbi,23208
nm0000230,Sylvester Stallone,212
nm0942876,Thomas M. Wright,13643
nm0001104,Frank Darabont,2443
nm4914792,Frant Gwo,75440
nm0973260,Mitsuo Hashimoto,1188857
nm0501435,Kasi Lemmons,12489
nm0761498,Chris Sanders,14923
nm6250496,Oran Zegman,95401
nm2608998,Ben Simms,122299
nm0764601,Miguel Sapochnik,20831
nm1720541,David Slade,16435
nm0853238,Tate Taylor,16098
nm1868917,Alessandro Carloni,145531
nm1027050,Maxwell Atoms,36342
nm9075613,Jae-Hoon Choi,115672
nm0834902,Robert Stromberg,57696
nm1979385,Adam Gunn,1170722
nm0637518,Phillip Noyce,12701
nm0382956,Scott Hicks,46013
nm0603628,Pierre Morel,16358
nm2298645,Mike P. Nelson,61274
nm0215299,Steven S. DeKnight,20727
nm2113474,Oliver Park,84359
nm0304432,Bobs Gannaway,127038
nm1093039,Mike Flanagan,1288
nm0950775,Jennifer Yuh Nelson,41108
nm0188722,Brandon Cronenberg,7992
nm8509498,Kook-Hee Choi,555336
nm0004056,Andrew Stanton,10028
nm3699074,Rob Savage,26181
nm3469952,Roy Hin Yeung Chow,623823
nm0370892,Anthony Hayes,22361
nm0950620,Ron Yuan,8210
nm2282774,Chris Appelhans,127701
nm0829820,Scott Stewart,34704
nm0218621,James DeMonaco,29996
nm0054077,Paris Barclay,37896
nm3277567,Santiago Fillol,806295
nm0911334,Matthew Warchus,63717
nm0001752,Steven Soderbergh,1706
nm0697656,Gina Prince-Bythewood,14249
nm0133899,Guillaume Canet,8807
nm1676223,Akiva Schaffer,14830
nm0931251,Mark Williams,40434
nm3611349,Jordan Vogt-Roberts,16968
nm0027271,Paul W.S. Anderson,6108
nm1593802,Hyeon Na,622151
nm2596725,David Blue Garcia,65772
nm0425364,Jesse V. Johnson,23115
nm0576298,Olivier Megaton,32922
nm0798899,David Silverman,56395
nm0038432,Kelly Asbury,68351
nm0482670,Ngai Choi Lam,76168
nm2133257,Andrew Hunt,127789
nm0339004,Luke Greenfield,25822
nm2155757,Josh Cooley,24189
nm0407466,Toshiharu Ikeda,134523
nm12682242,Jo Ba-Reun,641205
nm0668350,Jamie Payne,54202
nm1119099,Brendan Muldowney,104732
nm0004410,Mark Neveldine,18792
nm1449136,Anya Adams,61446
nm0019282,James Algar,134134
nm0295003,Louise Friedberg,156278
nm2210720,Naoko Yamada,68430
nm0026442,Brad Anderson,12515
nm0000361,Brian De Palma,2762
nm0877427,Brad Turner,71960
nm0000233,Quentin Tarantino,87
nm0930261,Chris Williams,30506
nm3482943,Han-min Kim,116620
nm0366004,Mary Harron,14275
nm0440458,Jake Kasdan,18616
nm7944995,Lok Kwan Woo,589463
nm0181902,George P. Cosmatos,11774
nm0285683,Howard J. Ford,70633
nm0028764,Mark Andrews,57250
nm0000520,Michael Mann,865
nm1534595,Peter Atencio,41400
nm1476102,Jeremiah Zagar,38399
nm5208146,Jeff Wamester,54733
nm0210320,Kirk DeMicco,71701
nm0814085,Stephen Sommers,12091
nm2445035,Rodrigo Estrada Alday,5363270
nm0061982,Brian Baugh,48697
nm0818746,Evan Spiliotopoulos,78719
nm1219963,David Moreau,97046
nm0240797,Dennis Dugan,4917
nm0009190,J.J. Abrams,2997
nm1853544,Pierre Coffin,11584
nm0757858,Carlos Saldanha,36157
nm0332740,Everardo Gout,86797
nm1767218,Lee Toland Krieger,34737
nm0850733,Genndy Tartakovsky,13343
nm0791381,Millicent Shelton,43274
nm2830839,Ivan Kavanagh,89618
nm1601882,Phil Johnston,40306
nm0067457,Timur Bekmambetov,11749
nm0426059,Rian Johnson,3449
nm0006846,Ric Roman Waugh,14685
nm0001532,John McTiernan,5415
nm0164203,Les Clark,117880
nm0046469,Paloma Baeza,16493
nm0719208,Chris Renaud,13887
nm3003609,Kevin Ko,25873
nm1012501,Rupert Wyatt,21587
nm0919363,Chris Weitz,12720
nm0553942,Steve Martino,120620
nm0445916,James Kelley,457913
nm4114096,Tetsuo Yajima,279991
nm0619923,Olivier Nakache,34585
nm3613566,Sang-ho Yeon,13906
nm0759207,Victor Salva,13909
nm0000905,Roberto Benigni,7702
nm0004152,Roel Reiné,35047
nm1454995,Adrian Langley,136939
nm0476201,Karyn Kusama,14248
nm4843792,Byoung-Wook Ahn,636831
nm1682573,Justin Baldoni,3083
nm0737533,Elisabeth Röhm,2661
nm0574625,James McTeigue,20310
nm0718646,Jason Reitman,2919
nm0228542,Christian Ditter,75425
nm3588966,Cate Devaney,226376
nm0661791,Park Chan-wook,3576
nm1793079,Fede Alvarez,6655
nm0001756,Barry Sonnenfeld,12184
nm3065869,Viktor Glukhushin,515567
nm1602528,Matt Peters,156068
nm0086431,Aaron Blaise,54236
nm4776740,Matt Carter,85691
nm0768959,Dan Scanlon,53781
nm1002424,Michael Dougherty,25664
nm0001024,Nick Cassavetes,3985
nm0001814,Gus Van Sant,2276
nm2260751,Sally El Hosaini,81765
nm0718627,Wolfgang Reitherman,42315
nm0133326,Sebastián Lelio,24153
nm0094435,Bong Joon Ho,2939
nm0000108,Luc Besson,1937
nm0001880,Edward Zwick,5605
nm0000362,Danny DeVito,1434
nm0632788,Daisuke Nishio,381847
nm0178997,Frank Coraci,20611
nm1377207,Santiago Mitre,80941
nm2477891,Gary Dauberman,30377
nm0000916,Peter Berg,4202
nm1312575,Olivia Wilde,394
nm0177896,Bradley Cooper,167
nm0001243,William Friedkin,4876
nm0459996,Reinhard Klooss,300559
nm4037204,Sang-yong Lee,74332
nm2547182,Takehiko Inoue,162396
nm0001124,Cecil B. DeMille,13494
nm0345174,Luca Guadagnino,5198
nm3621147,Orlando Herrera,519734
nm0005509,Jon Turteltaub,17050
nm0001353,Walter Hill,7387
nm0428600,Kirk Jones,68005
nm0951197,Kunihiko Yuyama,171981
nm0190780,Gabor Csupo,28731
nm0878763,Morten Tyldum,20089
nm4871153,Oleh Malamuzh,236566
nm0000206,Keanu Reeves,150
nm1349818,Anna Boden,10751
nm0172614,RJ Collins,70775
nm5276483,Svyatoslav Podgaevskiy,220840
nm0327273,Michel Gondry,7064
nm3602074,Yasuhiro Yoshiura,169931
nm1757777,Dave Green,56556
nm2554464,Dave Needham,517999
nm1890845,Sean Anders,27176
nm0004306,George Miller,2523
nm1731937,Alex Kendrick,14188
nm0233078,Brett Donowho,71917
nm5674565,Léa Mysius,71549
nm0254786,David R. Ellis,40376
nm0629334,McG,8500
nm0106924,Catherine Breillat,18269
nm2339266,Izu Ojukwu,661201
nm0462076,Tsuneo Kobayashi,759793
nm0563243,Dan Mazer,35887
nm0711840,Brett Ratner,10538
nm7992231,Lokesh Kanagaraj,15426
nm1880561,Harold Cronk,81572
nm0156566,Siu-Hung Chung,685398
nm1729171,Noam Murro,59594
nm0766218,Jun'ichi Satô,241659
nm1832808,Ettore D'Alessandro,473326
nm0207775,Sebastián De Caro,184773
nm0923330,Tanya Wexler,60473
nm0042768,Alexandre Avancini,443478
nm0000033,Alfred Hitchcock,1525
nm0002120,Lasse Hallström,11180
nm0425756,Mark Steven Johnson,30038
nm2318689,Matthew Reilly,60946
nm1139726,Neil Burger,13977
nm0994368,Magnus Martens,65505
nm5754818,Julien Fournet,633525
nm8928699,Keith Thomas,49598
nm0867262,Stanley Tong,72871
nm4975337,Hyun-Sung Moon,898550
nm0005190,Garry Marshall,7397
nm0812307,Peter Sohn,10917
nm0005618,Alex Zamm,54091
nm1180915,Chava Cartas,127631
nm0000040,Stanley Kubrick,1022
nm0973920,Yoshihiro Ueda,478766
nm0001675,Robert Rodriguez,2680
nm0221591,Virginie Despentes,92880
nm0702797,Steven Quale,64305
nm1113528,Martin Bourboulon,30542
nm1819972,Matt Duffer,18486
nm8694244,Won-Tae Lee,85810
nm0610831,Gabriele Muccino,35583
nm0637615,Gaspar Noé,4487
nm0942367,Edgar Wright,2293
nm0384864,Stephen Hillenburg,24876
nm0053228,Ernie Barbarash,65549
nm0809877,Sarah Smith,142885
nm0000976,Martin Brest,12036
nm0323239,Will Gluck,6717
nm0455078,Michael Patrick King,34077
nm0871188,Andrew Traucki,119104
nm2588135,Benjamin Mousquet,509548
nm0001741,Bryan Singer,5249
nm0766226,Kei'ichi Sato,373214
nm0396074,Mamoru Hosoda,22318
nm0001338,Brian Helgeland,10205
nm0378893,Stephen Herek,21353
nm3345058,Ángeles Reiné,498301
nm1639292,Theodore Ty,111382
nm0905592,Jeff Wadlow,15058
nm0089033,Régis Blondeau,252504
nm0319659,Dan Gilroy,9177
nm0523509,Gustavo Loza,250217
nm0015168,Masayuki Akehi,1034604
nm0428751,Mark Jones,82627
nm0942504,Joe Wright,7373
nm0641373,Tommy O'Haver,77898
nm0359387,John Lee Hancock,19244
