Column1;ID;titre_original;acteur_1;acteur_2;acteur_3;acteur_4;real_1;real_2;real_3;scen_1;scen_2;scen_3;distrib_1;distrib_2;distrib_3;genre_1;genre_2;genre_3;genre_4;genre_5;genre_6;genre_7;pays;jour_sortie;mois_sortie;annee_sortie;day_of_week_sortie;note_presse;duree;premiere_semaine_france;budget
1098;56714;Million Dollar Baby;Clint Eastwood; Morgan Freeman; Hilary Swank; Jay Baruchel;Clint Eastwood;;;Paul Haggis; F.X. Toole;;Mars Distribution;;;Drame;;;;;;;U.S.A.;23.0;3.0;2005.0;2.0;4.9;132.0;774989.0;$30,000,000 (estimated)
1099;56716;Le Carton;Vincent Desagnat; Bruno Salomone; Omar Sy; Fred Testot;Charles Nemes;;;Clément Michel; Sébastien Fechner;;Warner Bros. France;;;Comédie;;;;;;;France;6.0;10.0;2004.0;2.0;3.1;88.0;170495.0;$2,089,964
1100;56717;Yu-Gi-Oh! The Movie;;;;;Hatsuki Tsuji; Christopher Collet; Eric Stuart;Norman J. Grossfeld;;;Warner Bros. France;;;Action; Aventure; Animation; Famille; Fantastique; Thriller;;Japon;10.0;11.0;2004.0;2.0;2.1;100.0;35805.0;$20,000,000 (estimated)
1101;56718;Corpse Bride;;;;;Mike Johnson; Tim Burton;;John August; Caroline Thompson; Pamela Pettler;Warner Bros. France;;;Animation; Famille; Fantastique; Comédie musicale; Romance;;;U.S.A.;19.0;10.0;2005.0;2.0;4.2;77.0;506716.0;$40,000,000 (estimated)
1102;56722;Zidane, un portrait du XXIème siècle;Zinedine Zidane;;;;Philippe Parreno; Douglas Gordon (II);;;;;United International Pictures (UIP);;;Documentaire;;;;;;;France;24.0;5.0;2006.0;2.0;3.3;90.0;49686.0;2590000.0
1103;56738;Les temps qui changent;Catherine Deneuve; Gérard Depardieu; Gilbert Melki; Lubna Azabal;André Téchiné;;;André Téchiné; Laurent Guyot; Pascal Bonitzer;Gémini Films;;;Drame; Romance;;;;;;France;15.0;12.0;2004.0;2.0;4.0;90.0;163021.0;$545,255
1104;56739;The Constant Gardener;Ralph Fiennes; Rachel Weisz; Danny Huston; Bill Nighy;Fernando Meirelles;;;Jeffrey Caine; John Le Carré;;Mars Distribution;;;Drame; Romance; Thriller;;;;;U.S.A.;28.0;12.0;2005.0;2.0;3.5;128.0;215237.0;$25,000,000 (estimated)
1105;56792;Io non ho paura;Giuseppe Cristiano; Aitana Sánchez-Gijón; Dino Abbrescia; Giorgio Careccia;Gabriele Salvatores;;;Niccolò Ammaniti; Francesca Marciano; Niccolò Ammaniti;TFM Distribution;;;Drame; Thriller;;;;;;Italie;3.0;8.0;2005.0;2.0;3.5;102.0;22873.0;$1,615,328
1106;56796;Mad Money;Diane Keaton; Queen Latifah; Katie Holmes; Ted Danson;Callie Khouri;;;Callie Khouri; Glenn Gers; Neil McKay;Colifilms Diffusion;;;Comédie;;;;;;;U.S.A.;23.0;7.0;2008.0;2.0;2.9;100.0;36516.0;$22,000,000 (estimated)
1107;56798;Chicken Little;;;;;Mark Dindal;;;Steve Bencich; Ron J. Friedman; Ron Anderson;Buena Vista International;;;Aventure; Animation; Comédie; Science Fiction;;;;U.S.A.;7.0;12.0;2005.0;2.0;3.0;81.0;624517.0;$150,000,000 (estimated)
1108;56824;The Guardian;Kevin Costner; Ashton Kutcher; Sela Ward; Melissa Sagemiller;Andrew Davis;;;Ron L. Brinkerhoff;;;SND;;;Action; Aventure; Drame;;;;;U.S.A.;20.0;12.0;2006.0;2.0;2.1;137.0;79041.0;$70,000,000 (estimated)
1109;56826;Des hommes et des dieux;Lambert Wilson; Michael Lonsdale; Olivier Rabourdin; Philippe Laudenbach;Xavier Beauvois;;;Xavier Beauvois; Etienne Comar;;Mars Films;;;Drame;;;;;;;France;8.0;9.0;2010.0;2.0;4.1;120.0;467950.0;€4,000,000 (estimated)
1110;56827;Tout pour plaire;Anne Parillaud; Judith Godrèche; Mathilde Seigner; Pascal Elbé;Cécile Telerman;;;Cécile Telerman; Jérôme Soubeyrand;;Diaphana Films;;;Comédie;;;;;;;France;16.0;3.0;2005.0;2.0;3.4;105.0;489073.0;€5,310,000 (estimated)
1111;56828;À tout de suite;Isild Le Besco; Ouassini Embarek; Nicolas Duvauchelle; Laurence Cordier;Benoit Jacquot;;;Benoit Jacquot;;;Pyramide Distribution;;;Drame; Thriller;;;;;;France;8.0;12.0;2004.0;2.0;4.6;95.0;21743.0;$248,565
1112;56830;Travaux;Carole Bouquet; Jean-Pierre Castaldi; Aldo Maccione; Didier Flamand;Brigitte Roüan;;;Brigitte Roüan; Eric Besnard; Jean-François Goyet;Pyramide Distribution;;;Comédie;;;;;;;France;1.0;6.0;2005.0;2.0;4.2;95.0;184154.0;4690000.0
1113;56833;The Hitchhiker's Guide to the Galaxy;Martin Freeman; Yasiin Bey; Sam Rockwell; John Malkovich;Garth Jennings;;;Douglas Adams; Karey Kirkpatrick; Garth Jennings;Buena Vista International;;;Aventure; Comédie; Science Fiction;;;;;U.S.A.;17.0;8.0;2005.0;2.0;3.5;108.0;240257.0;$50,000,000 (estimated)
1114;56842;Le Parfum de la dame en noir;Denis Podalydès; Jean-Noël Brouté; Pierre Arditi; Sabine Azéma;Bruno Podalydès;;;Bruno Podalydès; Gaston Leroux;;UGC;;;Comédie; Policier;;;;;;France;14.0;9.0;2005.0;2.0;3.5;115.0;186568.0;€11,001,015 (estimated)
1115;56861;Ae Fond Kiss;Atta Yaqub; Eva Birthistle; Shabana Bakhsh; Shamshad Akhtar;Ken Loach;;;Paul Laverty;;;Diaphana Films;;;Drame; Romance;;;;;;Grande-Bretagne;14.0;7.0;2004.0;2.0;4.0;103.0;91676.0;$30,148
1116;56871;Shi mian mai fu;Andy Lau; Ziyi Zhang; Takeshi Kaneshiro; Song Dandan;Yimou Zhang;;;Bin Wang; Feng Li; Yimou Zhang;United International Pictures (UIP);;;Action; Drame; Historique; Arts Martiaux;;;;Chine;17.0;11.0;2004.0;2.0;4.1;119.0;219629.0;CN¥100,000,000 (estimated)
1117;56885;Firewall;David Lewis (IV); Robert Patrick; Robert Forster; Alan Arkin;Richard Loncraine;;;Joe Forte;;;Warner Bros. France;;;Policier; Thriller;;;;;;U.S.A.;5.0;4.0;2006.0;2.0;1.8;104.0;77647.0;$50,000,000 (estimated)
1118;56894;Dare mo shiranai;Yûya Yagira; Ayu Kitaura; Hiei Kimura; Momoko Shimizu;Hirokazu Kore-eda;;;Hirokazu Kore-eda;;;ARP Sélection;;;Drame;;;;;;;Japon;10.0;11.0;2004.0;2.0;4.3;141.0;45361.0;$684,118
1119;56899;The Lovely Bones;Saoirse Ronan; Mark Wahlberg; Stanley Tucci; Rachel Weisz;Peter Jackson;;;Peter Jackson; Fran Walsh; Philippa Boyens;Paramount Pictures France;;;Drame; Fantastique;;;;;;U.S.A.;10.0;2.0;2010.0;2.0;2.8;128.0;176065.0;$65,000,000 (estimated)
1120;56902;Coldwater;P.J. Boudousqué; James C. Burns; Chris Petrovski; Octavius J. Johnson;Vincent Grashaw;;;Vincent Grashaw; Mark Penney;;KMBO;;;Drame; Thriller;;;;;;U.S.A.;9.0;7.0;2014.0;2.0;2.9;108.0;34511.0;$700,000 (estimated)
1121;56910;Jarhead;Jake Gyllenhaal; Scott MacDonald; Peter Sarsgaard; Jamie Foxx;Sam Mendes;;;William Broyles Jr.; Anthony Swofford;;United International Pictures (UIP);;;Drame; Guerre;;;;;;U.S.A.;11.0;1.0;2006.0;2.0;3.8;123.0;141455.0;$72,000,000 (estimated)
1122;56995;Papa;Alain Chabat; Martin Combes; Yaël Abecassis; Judith Godrèche;Maurice Barthélémy;;;Maurice Barthélémy;;;Gaumont Columbia Tristar Films;;;Comédie dramatique;;;;;;;France;1.0;6.0;2005.0;2.0;4.0;80.0;120645.0;$3,500,000 (estimated)
1123;56996;Flight Plan;Jodie Foster; Michael Irby; Assaf Cohen; Shane Edelman;Robert Schwentke;;;Billy Ray; Terry Hayes; Peter A. Dowling;Buena Vista International;;;Drame; Thriller;;;;;;U.S.A.;9.0;11.0;2005.0;2.0;2.9;98.0;379588.0;$55,000,000 (estimated)
1124;57038;L'Antidote;Christian Clavier; Jacques Villeret; Agnès Soral; Annie Grégorio;Vincent de Brus;;;Arnaud Lemort; Eric Besnard; Jacques Besnard;Warner Bros. France;;;Comédie;;;;;;;France;30.0;3.0;2005.0;2.0;2.9;107.0;302414.0;$5,194,913
1125;57040;Or;Dana Ivgy; Ronit Elkabetz; Meshar Cohen; Katia Zinbris;Keren Yedaya;;;Keren Yedaya; Sari Ezouz;;Rezo Films;;;Drame; Romance;;;;;;Israël;1.0;12.0;2004.0;2.0;3.9;100.0;21023.0;$29,194
1126;57060;The Curious Case of Benjamin Button;Brad Pitt; Cate Blanchett; Julia Ormond; Taraji P. Henson;David Fincher;;;Eric Roth; Robin Swicord; F. Scott Fitzgerald;Warner Bros. France;;;Drame; Fantastique; Romance;;;;;U.S.A.;4.0;2.0;2009.0;2.0;3.9;155.0;826315.0;$150,000,000 (estimated)
1127;57112;Les Fables de Starewitch;;;;;Ladislas Starewitch;;;Ladislas Starewitch; Irene Starewitch; Jean de La Fontaine;Les Acacias;;;Animation;;;;;;;France;9.0;2.0;2011.0;2.0;3.9;70.0;2050.0;€30,000 (estimated)
1128;57125;The Transporter II;Jason Statham; Alessandro Gassman; Amber Valletta; Kate Nauta;Louis Leterrier;;;Luc Besson; Robert Mark Kamen;;EuropaCorp Distribution;;;Action; Policier; Thriller;;;;;France;3.0;8.0;2005.0;2.0;2.5;87.0;440512.0;32000000.0
1129;57127;88 Minutes;Al Pacino; Alicia Witt; Leelee Sobieski; Neal McDonough;Jon Avnet;;;Gary Scott Thompson;;;Metropolitan FilmExport;;;Thriller;;;;;;;U.S.A.;30.0;5.0;2007.0;2.0;1.7;110.0;135889.0;$30,000,000 (estimated)
1130;57128;Find me guilty;Jeff Chena; Tim Cinnante; Vinny DeGennaro; Jerry Grayson;Sidney Lumet;;;T.J. Mancini; Robert McCrea; Sidney Lumet;Metropolitan FilmExport;;;Comédie; Policier;;;;;;U.S.A.;13.0;9.0;2006.0;2.0;3.3;124.0;66767.0;$13,000,000 (estimated)
1131;57129;Evan Almighty;Steve Carell; Morgan Freeman; Lauren Graham; John Goodman;Tom Shadyac;;;Steve Oedekerk; Alec Sokolow; Joel Cohen;Paramount Pictures France;;;Comédie; Fantastique;;;;;;U.S.A.;15.0;8.0;2007.0;2.0;1.5;96.0;150994.0;$175,000,000 (estimated)
1132;57132;Hellboy II : The Golden Army;Ron Perlman; Selma Blair; Doug Jones; James Dodd;Guillermo del Toro;;;Mike Mignola; Guillermo del Toro; Mike Mignola;Universal Pictures International France;;;Action; Fantastique;;;;;;U.S.A.;29.0;10.0;2008.0;2.0;3.7;119.0;408413.0;$85,000,000 (estimated)
1133;57133;Al'lèèssi, une actrice africaine;Mustapha Alassan; Mahamane Bakabé; Moustapha Diop; Boubacar Souna;Rahmatou Keïta;;;Rahmatou Keïta;;;;;;Documentaire;;;;;;;France;17.0;11.0;2010.0;2.0;3.0;69.0;44.0;
1134;57138;Pirates of the Caribbean: Dead Man's Chest;Johnny Depp; Orlando Bloom; Keira Knightley; Bill Nighy;Gore Verbinski;;;Ted Elliott; Terry Rossio; Ted Elliott;Buena Vista International;;;Action; Aventure; Fantastique;;;;;U.S.A.;2.0;8.0;2006.0;2.0;3.5;151.0;2708112.0;$225,000,000 (estimated)
1135;57139;Pirates of the Caribbean: At World's End;Johnny Depp; Orlando Bloom; Keira Knightley; Geoffrey Rush;Gore Verbinski;;;Ted Elliott; Terry Rossio; Ted Elliott;Buena Vista International;;;Action; Aventure; Fantastique;;;;;U.S.A.;23.0;5.0;2007.0;2.0;3.1;169.0;2709377.0;$300,000,000 (estimated)
1136;57186;Ma petite planète chérie;;;;;Jacques-Rémy Girerd;;;;;;Folimage;;;Animation;;;;;;;France;20.0;10.0;2010.0;2.0;3.4;44.0;8784.0;
1137;57197;Jungle Cruise;Emily Blunt; Dwayne Johnson; Jesse Plemons; Jack Whitehall;Jaume Collet-Serra;;;John Requa; Glenn Ficarra; Michael Green;The Walt Disney Company France;;;Aventure;;;;;;;U.S.A.;28.0;7.0;2021.0;2.0;3.2;128.0;284661.0;$200,000,000 (estimated)
1138;57211;Gabrielle;Isabelle Huppert; Pascal Greggory; Claudia Coli; Thierry Hancisse;Patrice Chéreau;;;Anne-Louise Trividic; Patrice Chéreau; Joseph Conrad;Mars Distribution;;;Drame;;;;;;;France;28.0;9.0;2005.0;2.0;3.4;90.0;103731.0;$332,829
1139;57212;Shrek Forever After;;;;;Mike Mitchell (V);;;Josh Klausner; Darren Lemke; Tim Sullivan;Paramount Pictures France;;;Animation; Comédie; Famille; Fantastique;;;;U.S.A.;30.0;6.0;2010.0;2.0;3.2;93.0;1722859.0;$165,000,000 (estimated)
1140;57215;R.V. : Runaway Vacation;Robin Williams; Cheryl Hines; Hunter Parrish; Jojo;Barry Sonnenfeld;;;Geoff Rodkey; Lowell Ganz; Babaloo Mandel;Gaumont Columbia Tristar Films;;;Aventure; Comédie; Famille;;;;;U.S.A.;19.0;7.0;2006.0;2.0;2.3;98.0;55491.0;65000000.0
1141;57216;Wassup Rockers;David Livingston; Jonathan Velasquez; Francisco Pedrasa; Milton Velasquez;Larry Clark;;;Larry Clark; Matthew Frost;;Ad Vitam;;;Drame;;;;;;;U.S.A.;5.0;4.0;2006.0;2.0;3.8;106.0;22702.0;$221,574
1142;57218;Combien tu m'aimes ?;Monica Bellucci; Bernard Campan; Gérard Depardieu; Jean-Pierre Darroussin;Bertrand Blier;;;Bertrand Blier; Bertrand Blier;;Pan Européenne Edition;;;Comédie dramatique;;;;;;;France;26.0;10.0;2005.0;2.0;3.2;95.0;294836.0;€10,000,000 (estimated)
1143;57242;La Petite Chambre;Michel Bouquet; Florence Loiret-Caille; Eric Caravaca; Joël Delsaut;Stéphanie Chuat; Véronique Reymond;;Stéphanie Chuat; Véronique Reymond;;KMBO;;;Comédie dramatique;;;;;;;Suisse;16.0;2.0;2011.0;2.0;3.0;87.0;14448.0;€200,000 (estimated)
1144;57293;Autobahnraser;Alexandra Neldel; Luke Wilkins; Henriette Richter-Röhl; Niels-Bruno Schmidt;Michael Keusch;;;Robert Kulzer; Herman Weigel;;Metropolitan FilmExport;;;Action;;;;;;;Allemagne;21.0;7.0;2004.0;2.0;2.2;90.0;69431.0;€7,200,000 (estimated)
1145;57319;Back to Gaya;;;;;Lenard Fritz Krawinkel; Holger Trappe; Lenard F. Krawinkel;Jan Berger; Don McEnergy; Donald McEnery;Metropolitan FilmExport;;;Animation;;;;;;;Allemagne;27.0;7.0;2005.0;2.0;2.8;87.0;25182.0;$2,844,511
1146;57349;Elizabeth : The Golden Age;Cate Blanchett; Geoffrey Rush; Clive Owen; Rhys Ifans;Shekhar Kapur;;;Michael Hirst; William Nicholson;;StudioCanal;;;Drame; Historique;;;;;;France;1.0;7.0;1999.0;3.0;2.6;114.0;61154.0;$55,000,000 (estimated)
1147;57371;The Story of the Weeping Camel;Ingen Temee; Botok; Uuganbaatar Ikhbayar; Odgerel Ayusch;Byambasuren Davaa; Luigi Falorni;;Byambasuren Davaa; Luigi Falorni; Batbayar Davgadorj;ARP Sélection;;;Comédie dramatique;;;;;;;Allemagne;6.0;10.0;2004.0;2.0;3.8;90.0;34890.0;
1148;57392;Quand la mer monte;Yolande Moreau; Wim Willaert; Olivier Gourmet; Jackie Berroyer;Yolande Moreau; Gilles Porte;;Yolande Moreau; Gilles Porte;;Pirates Distribution;;;Comédie;;;;;;;France;27.0;10.0;2004.0;2.0;4.2;93.0;49512.0;$24,038
1149;57401;Les soeurs fâchées;Isabelle Huppert; Catherine Frot; François Berléand; Brigitte Catillon;Alexandra Leclère;;;Alexandra Leclère; Alexandra Leclère;;Pan Européenne Edition;;;Comédie;;;;;;;France;22.0;12.0;2004.0;2.0;3.7;93.0;365125.0;$10,467,048
1150;57405;Terminator Salvation;Christian Bale; Sam Worthington; Anton Yelchin; Bryce Dallas Howard;McG;;;John Brancato; Michael Ferris; Jonathan Nolan;Sony Pictures Releasing France;;;Action; Aventure; Science Fiction;;;;;U.S.A.;3.0;6.0;2009.0;2.0;2.7;108.0;756323.0;$200,000,000 (estimated)
1151;57408;Final Destination 3;Mary Elizabeth Winstead; Ryan Merriman; Texas Battle; Jamie Isaac Conde;James Wong;;;James Wong; Glen Morgan; Jeffrey Reddick;Metropolitan FilmExport;;;Fantastique; Epouvante-horreur;;;;;;U.S.A.;22.0;3.0;2006.0;2.0;2.6;93.0;405218.0;$25,000,000 (estimated)
1152;57410;Saw;Leigh Whannell; Cary Elwes; Danny Glover; Ken Leung;James Wan;;;James Wan; Leigh Whannell;;Metropolitan FilmExport;;;Epouvante-horreur; Thriller;;;;;;U.S.A.;16.0;3.0;2005.0;2.0;3.5;104.0;215717.0;$1,200,000 (estimated)
1153;57413;Tian bian yi duo yun;Lee Kang-sheng; Shi Chen; Lu Yi-Ching; Kuei-Mei Yang;Tsai Ming-liang;;;Tsai Ming-liang;;;Pan Européenne Edition;;;Comédie dramatique; Erotique;;;;;;France;30.0;11.0;2005.0;2.0;3.7;115.0;16108.0;$456,131
1154;57417;Azur et Asmar;;;;;Michel Ocelot;;;Michel Ocelot; Michel Ocelot;;Diaphana Distribution;;;Animation; Famille;;;;;;France;25.0;10.0;2006.0;2.0;4.3;99.0;430753.0;€9,000,000 (estimated)
1155;57418;Vera Drake;Imelda Staunton; Phil Davis; Eddie Marsan; Richard Graham;Mike Leigh;;;Mike Leigh;;;Mars Distribution;;;Drame;;;;;;;France;10.0;11.0;2004.0;2.0;4.0;125.0;70071.0;$11,000,000 (estimated)
1156;57421;Bandidas;Salma Hayek; Penélope Cruz; Steve Zahn; Dwight Yoakam;Joachim Rønning; Espen Sandberg;;Luc Besson; Robert Mark Kamen;;20th Century Studios;;;Action; Comédie; Western;;;;;France;18.0;1.0;2006.0;2.0;2.7;95.0;208706.0;€32,000,000 (estimated)
1157;57422;Ze Film;Clément Sibony; Dan Herzberg; Micky El Mazroui;" Predrag &#039;Miki&#039; Manojlovic";Guy Jacques;;;Guy Jacques; Emmanuel List; Constantin Attia;EuropaCorp Distribution;;;Comédie;;;;;;;France;23.0;2.0;2005.0;2.0;3.3;105.0;93095.0;$847,646
1158;57424;Cherche fiancé tous frais payés;Alexandra Lamy; Bruno Salomone; Claudia Cardinale; Isabelle Gélinas;Aline Issermann;;;Aline Issermann; Jean-Luc Estebe; Brice-Pascal Renault;ARP Sélection;;;Comédie; Romance;;;;;;France;27.0;6.0;2007.0;2.0;1.7;92.0;105132.0;$1,395,289
1159;57425;Les Parrains;Gérard Lanvin; Gérard Darmon; Jacques Villeret; Pascal Rénéric;Frédéric Forestier;;;Olivier Dazat; Alexandre De La Patellière; Matthieu Delaporte;ARP Sélection;;;Comédie; Policier;;;;;;France;19.0;10.0;2005.0;2.0;3.1;99.0;302225.0;$4,334,680
1160;57432;Munich;Eric Bana; Daniel Craig; Ciarán Hinds; Mathieu Kassovitz;Steven Spielberg;;;Eric Roth; Tony Kushner; George Jonas;United International Pictures (UIP);;;Drame; Historique; Espionnage; Thriller;;;;U.S.A.;25.0;1.0;2006.0;2.0;3.8;160.0;425873.0;$70,000,000 (estimated)
1161;57433;Dans tes rêves;Disiz; Blandine Bury; Vincent Elbaz; Edouard Montoute;Denis Thybaud;;;Denis Thybaud;;;Mars Distribution;;;Comédie dramatique;;;;;;;France;13.0;4.0;2005.0;2.0;3.3;95.0;115381.0;$1,247,034
1162;57435;Akoibon;Chiara Mastroianni; Benoît Poelvoorde; François Rollin; Atmen Kélif;Edouard Baer;;;Edouard Baer; Fabrice Roger-Lacan; Edouard Baer;Gémini Films;;;Aventure; Comédie; Romance;;;;;France;13.0;4.0;2005.0;2.0;3.1;95.0;49683.0;$357,848
1163;57438;Boudu;Cyril Brunet; Gérard Depardieu; Catherine Frot; Gérard Jugnot;Gérard Jugnot;;;Philippe Lopes-Curval; Gérard Jugnot; René Fauchois;Pathé;;;Comédie;;;;;;;France;9.0;3.0;2005.0;2.0;2.5;104.0;501196.0;$8,568,040
1164;57439;Martian Child;John Cusack; Bobby Coleman; Amanda Peet; Sophie Okonedo;Menno Meyjes;;;Jonathan Tolins; Seth Bass; Menno Meyjes;Metropolitan FilmExport;;;Comédie; Drame;;;;;;U.S.A.;15.0;7.0;2009.0;2.0;2.6;105.0;9104.0;$27,000,000 (estimated)
1165;57441;Manolete;Adrien Brody; Penélope Cruz; Nacho Aldeguer; Juan Echanove;Menno Meyjes;;;Menno Meyjes;;;Quinta Distribution;;;Biopic; Romance;;;;;;Espagne;31.0;3.0;2010.0;2.0;1.6;92.0;25788.0;15000000.0
1166;57476;Bug;Ashley Judd; Harry Connick Jr; Lynn Collins; Michael Shannon;William Friedkin;;;Tracy Letts; Tracy Letts;;Metropolitan FilmExport;;;Drame; Epouvante-horreur; Thriller;;;;;U.S.A.;21.0;2.0;2007.0;2.0;3.9;100.0;29486.0;$4,000,000 (estimated)
1167;57478;Une aventure;Nicolas Duvauchelle; Ludivine Sagnier; Bruno Todeschini; Florence Loiret-Caille;Xavier Giannoli;;;Jacques Fieschi; Xavier Giannoli;;Mars Distribution;;;Romance; Thriller;;;;;;France;31.0;8.0;2005.0;2.0;3.0;100.0;45536.0;$459,302
1168;57479;Anthony Zimmer;Alban Casterman; Sophie Marceau; Yvan Attal; Sami Frey;Jérôme Salle;;;Jérôme Salle; Jérôme Salle;;Mars Distribution;;;Romance; Thriller;;;;;;France;27.0;4.0;2005.0;2.0;3.6;90.0;280435.0;$6,306,533
1169;57492;Where the Truth Lies;Kevin Bacon; Colin Firth; Alison Lohman; David Hayman;Atom Egoyan;;;Atom Egoyan; Rupert Holmes;;TFM Distribution;;;Drame; Thriller;;;;;;U.S.A.;21.0;12.0;2005.0;2.0;3.4;107.0;58836.0;$25,000,000 (estimated)
1170;57512;Ils sont vivants;Marina Foïs; Seear Kohi; Laetitia Dosch; Igor Van Dessel;Jérémie Elkaïm;;;Jérémie Elkaïm; Arthur Cahn; Gilles Marchand;Memento Distribution;;;Comédie dramatique; Romance;;;;;;France;23.0;2.0;2022.0;2.0;3.4;112.0;24084.0;$249,827
1171;57529;300;Gerard Butler; Lena Headey; Rodrigo Santoro; David Wenham;Zack Snyder;;;Zack Snyder; Kurt Johnstad; Frank Miller;Warner Bros. France;;;Action; Historique; Péplum; Guerre;;;;U.S.A.;21.0;3.0;2007.0;2.0;2.9;115.0;802975.0;$65,000,000 (estimated)
1172;57535;Five Children and It;Tara Fitzgerald; Freddie Highmore; Alex Jennings; Jonathan Bailey;John Stephenson;;;David Solomons; Edith Nesbit;;Metropolitan FilmExport;;;Aventure; Famille; Fantastique;;;;;Grande-Bretagne;20.0;10.0;2004.0;2.0;3.1;90.0;77079.0;$16,000,000 (estimated)
1173;57549;Speed Racer;Emile Hirsch; Christina Ricci; John Goodman; Susan Sarandon;Lilly Wachowski; Lana Wachowski;;Lilly Wachowski; Lana Wachowski; Tatsuo Yoshida;Warner Bros. France;;;Action; Aventure; Science Fiction;;;;;U.S.A.;18.0;6.0;2008.0;2.0;2.7;135.0;61860.0;$120,000,000 (estimated)
1174;57555;Two for the Money;Al Pacino; Matthew McConaughey; Rene Russo; James Kirk;D.J. Caruso;;;Dan Gilroy;;;Mars Distribution;;;Drame; Thriller;;;;;;U.S.A.;17.0;1.0;2006.0;1.0;2.3;122.0;55753.0;$35,000,000 (estimated)
1175;57572;Paradise Now;Lubna Azabal; Hiam Abbass; Kais Nashef; Ali Suliman;Hany Abu-Assad;;;Hany Abu-Assad; Bero Beyer; Pierre Hodgson;Haut et Court;;;Drame;;;;;;;Allemagne;7.0;9.0;2005.0;2.0;3.7;87.0;30175.0;$2,000,000 (estimated)
1176;57603;Un Vrai bonheur;Denis Cherer; Valérie Baurens; Stéphane Boutet; Patrick Zard;Didier Caron;;;Didier Caron; Amanda Sthers; Sabrina Compeyron;UGC;;;Comédie;;;;;;;France;13.0;7.0;2005.0;2.0;2.6;83.0;37434.0;392000000.0
1177;57609;Pooh's Heffalump Movie;;;;;Frank Nissen;;;Brian Hohlfeld; Evan Spiliotopoulos;;Buena Vista International;;;Animation; Famille; Fantastique;;;;;U.S.A.;13.0;4.0;2005.0;2.0;3.9;66.0;183302.0;$20,000,000 (estimated)
1178;57614;Le Courage d'aimer;Mathilde Seigner; Maïwenn; Massimo Ranieri; Michel Leeb;Claude Lelouch;;;Claude Lelouch; Pierre Uytterhoeven; Claude Lelouch;Les Films 13;;;Comédie dramatique;;;;;;;France;29.0;6.0;2005.0;2.0;2.7;103.0;47136.0;$462,655
1179;57615;La Marche de l'Empereur;;;;;Luc Jacquet;;;Luc Jacquet; Michel Fessler; Emilie Simon;Buena Vista International;;;Documentaire;;;;;;;France;26.0;1.0;2005.0;2.0;4.0;85.0;447512.0;$8,000,000 (estimated)
1180;57616;The Wild;;;;;Steve Williams;;;Mark Gibson; Philip Halprin; Edward Decter;Buena Vista International;;;Animation;;;;;;;U.S.A.;12.0;4.0;2006.0;2.0;1.6;82.0;142476.0;$80,000,000 (estimated)
1181;57625;Crustacés et Coquillages;Valeria Bruni Tedeschi; Gilbert Melki; Jean-Marc Barr; Jacques Bonnaffé;Olivier Ducastel; Jacques Martineau;;Olivier Ducastel; Jacques Martineau;;Bac Films;;;Comédie;;;;;;;France;30.0;3.0;2005.0;2.0;3.9;93.0;66193.0;$141,039
1182;57664;Doom;Karl Urban; Dwayne Johnson; Rosamund Pike; Richard Brake;Andrzej Bartkowiak;;;Dave Callaham; Wesley Strick;;United International Pictures (UIP);;;Action; Epouvante-horreur; Science Fiction;;;;;U.S.A.;16.0;11.0;2005.0;2.0;2.3;104.0;114289.0;$60,000,000 (estimated)
1183;57667;Gentille;Emmanuelle Devos; Lambert Wilson; Bruno Todeschini; Michael Lonsdale;Sophie Fillières;;;Sophie Fillières;;;Les Films du Losange;;;Comédie;;;;;;;France;14.0;12.0;2005.0;2.0;3.6;102.0;47008.0;$780,085
1184;57679;Le Couperet;José Garcia; Karin Viard; Ulrich Tukur; Olivier Gourmet;Costa-Gavras;;;Costa-Gavras; Jean-Claude Grumberg; Donald E. Westlake;Mars Distribution;;;Comédie; Drame; Thriller;;;;;France;2.0;3.0;2005.0;2.0;4.3;122.0;260436.0;$4,885,946
1185;57689;El laberinto del fauno;Ivana Baquero; Sergi López; Doug Jones; Ariadna Gil;Guillermo del Toro;;;Guillermo del Toro;;;Wild Bunch Distribution;;;Fantastique; Epouvante-horreur;;;;;;Espagne;1.0;11.0;2006.0;2.0;3.9;118.0;177058.0;$19,000,000 (estimated)
1186;57695;The Three Burials of Melquiades Estrada;Tommy Lee Jones; Barry Pepper; Julio Cesar Cedillo; Dwight Yoakam;Tommy Lee Jones;;;Guillermo Arriaga;;;EuropaCorp Distribution;;;Drame;;;;;;;U.S.A.;23.0;11.0;2005.0;2.0;4.4;120.0;201751.0;$15,000,000 (estimated)
1187;57722;Land Of The Dead;Devon Bostick; Simon Baker; Asia Argento; Dennis Hopper;George A. Romero;;;George A. Romero;;;Pan Européenne Edition;;;Action; Epouvante-horreur;;;;;;France;10.0;8.0;2005.0;2.0;3.8;93.0;172946.0;$15,000,000 (estimated)
1188;57727;Les Enfants;Gérard Lanvin; Karin Viard; Brieuc Quiniou; Nicolas Jouxtel;Christian Vincent;;;Christian Vincent; Dan Franck;;Pathé;;;Comédie;;;;;;;France;6.0;4.0;2005.0;2.0;3.2;88.0;95639.0;$1,398,027
