Column1;ID;titre_original;acteur_1;acteur_2;acteur_3;acteur_4;real_1;real_2;real_3;scen_1;scen_2;scen_3;distrib_1;distrib_2;distrib_3;genre_1;genre_2;genre_3;genre_4;genre_5;genre_6;genre_7;pays;jour_sortie;mois_sortie;annee_sortie;day_of_week_sortie;note_presse;duree;premiere_semaine_france;budget
7700;249208;Ang Babaeng Humayo;Charo Santos-Concio; John Lloyd Cruz; Michael De Mesa; Nonie Buencamino;Lav Diaz;;;Lav Diaz; Lev Tolstoi;;ARP Sélection;;;Drame;;;;;;;Philippines;1.0;2.0;2017.0;2.0;4.1;226.0;2704.0;€76,000 (estimated)
7701;249216;Et les mistrals gagnants;;;;;Anne-Dauphine Julliand;;;Anne-Dauphine Julliand;;;Nour Films;;;Documentaire;;;;;;;France;1.0;2.0;2017.0;2.0;3.9;80.0;56034.0;$1,517,093
7702;249232;Epouse-moi mon pote;Tarek Boudali; Philippe Lacheau; Charlotte Gabris; Andy Rowski;Tarek Boudali;;;Tarek Boudali; Khaled Amara; Pierre Dudan (II);StudioCanal;;;Comédie;;;;;;;France;25.0;10.0;2017.0;2.0;2.2;92.0;970435.0;$21,571,464
7703;249234;Wildlife;Carey Mulligan; Jake Gyllenhaal; Ed Oxenbould; Bill Camp;Paul Dano;;;Zoe Kazan; Paul Dano; Richard Ford;ARP Sélection;;;Drame;;;;;;;U.S.A.;19.0;12.0;2018.0;2.0;3.9;105.0;40565.0;
7704;249239;Mon père en grand;Serge Renou; Alix Schmidt; Marie Rivière;;Mathias Renou;;;;;;Cinéma Saint-André des Arts;;;Comédie dramatique;;;;;;;France;9.0;11.0;2016.0;2.0;3.0;90.0;88.0;
7705;249240;La Danse des accrochés;Jean-Claude Gauthier; Christophe Sauvion; Dorothée Dentel; Sylvain Solustri;Thibault Dentel;;;Thibault Dentel;;;Caboche;;;Thriller;;;;;;;France;7.0;12.0;2016.0;2.0;2.8;106.0;49.0;
7706;249277;The Secret Life of Pets 2;;;;;Chris Renaud; Jonathan Del Val;;Brian Lynch;;;Universal Pictures International France;;;Animation; Comédie; Famille;;;;;U.S.A.;31.0;7.0;2019.0;2.0;3.2;86.0;710881.0;
7707;249288;Gorge Coeur Ventre;Virgile Hanrot; Dimitri Buchenet;;;Maud Alpi;;;Maud Alpi; Baptiste Boulba-Ghigna;;Shellac;;;Drame; Thriller;;;;;;France;16.0;11.0;2016.0;2.0;3.4;82.0;899.0;
7708;249317;Jesús;Nicolás Durán; Alejandro Goic; Gastón Salgado; Sebastián Ayala;Fernando Guzzoni;;;Fernando Guzzoni;;;Optimale Distribution;;;Drame;;;;;;;Chili;28.0;3.0;2018.0;2.0;3.2;86.0;288.0;
7709;249318;Dangsinjasingwa Dangsinui Geot;Kim Ju-Hyeok; Yoo-Young Lee; Hae-hyo Kwon; Junsang Yu;Hong Sang-Soo;;;Hong Sang-Soo;;;Les Acacias;;;Comédie; Drame;;;;;;Corée du Sud;1.0;2.0;2017.0;2.0;4.0;86.0;6624.0;$150,229
7710;249321;Lady Macbeth;Florence Pugh; Cosmo Jarvis; Paul Hilton; Naomi Ackie;William Oldroyd;;;Alice Birch; Nikolai Leskov;;KMBO;;;Drame; Historique; Romance;;;;;Grande-Bretagne;12.0;4.0;2017.0;2.0;3.5;89.0;60006.0;
7711;249333;Graine de Champion;;;;;Simon Lereng Wilmont; Viktor Kossakovsky;;;;;Les Films du Préau;;;Documentaire;;;;;;;Danemark;9.0;11.0;2016.0;2.0;3.5;83.0;1204.0;
7712;249348;Algérie du possible;;;;;Viviane Candas;;;Viviane Candas;;;Les Films de l'Atalante;;;Documentaire;;;;;;;France;7.0;12.0;2016.0;2.0;4.0;82.0;1054.0;
