Column1;ID;Budget_dollards
376;29275; 115 000 000,0   
3875;182991; 115 000 000,0   
546;40623; 113 000 000,0   
2945;140472; 112 000 000,0   
291;28933; 110 000 000,0   
367;29240; 110 000 000,0   
671;45645; 110 000 000,0   
697;46542; 110 000 000,0   
778;48371; 110 000 000,0   
817;49751; 110 000 000,0   
837;50575; 110 000 000,0   
838;50581; 110 000 000,0   
1023;54566; 110 000 000,0   
1352;59809; 110 000 000,0   
1487;61639; 110 000 000,0   
1634;109640; 110 000 000,0   
2300;130203; 110 000 000,0   
2491;133588; 110 000 000,0   
3243;146214; 110 000 000,0   
3408;172808; 110 000 000,0   
3784;181022; 110 000 000,0   
4291;191344; 110 000 000,0   
4461;194075; 110 000 000,0   
5617;220846; 110 000 000,0   
6081;226739; 110 000 000,0   
9525;275675; 110 000 000,0   
9822;281203; 110 000 000,0   
867;51539; 110 000 000,0   
4869;202798; 110 000 000,0   
5686;221524; 109 000 000,0   
170;28356; 107 000 000,0   
46;19483; 105 000 000,0   
558;41134; 105 000 000,0   
1583;109040; 105 000 000,0   
2219;129003; 105 000 000,0   
3019;141808; 105 000 000,0   
4620;196701; 105 000 000,0   
4667;197379; 105 000 000,0   
6019;226078; 105 000 000,0   
4465;194160; 103 000 000,0   
5052;206727; 103 000 000,0   
9463;274234; 102 670 025,0   
325;29068; 102 000 000,0   
469;34917; 102 000 000,0   
3083;143067; 102 000 000,0   
204;28522; 100 000 000,0   
247;28760; 100 000 000,0   
302;28968; 100 000 000,0   
380;29280; 100 000 000,0   
381;29284; 100 000 000,0   
399;29362; 100 000 000,0   
442;33907; 100 000 000,0   
565;41245; 100 000 000,0   
586;42152; 100 000 000,0   
760;48082; 100 000 000,0   
896;52416; 100 000 000,0   
926;53023; 100 000 000,0   
931;53104; 100 000 000,0   
1021;54502; 100 000 000,0   
1466;61469; 100 000 000,0   
1522;88156; 100 000 000,0   
1546;108625; 100 000 000,0   
1849;114867; 100 000 000,0   
2084;126523; 100 000 000,0   
2107;126922; 100 000 000,0   
2126;127524; 100 000 000,0   
2183;128515; 100 000 000,0   
2192;128729; 100 000 000,0   
2222;129054; 100 000 000,0   
2247;129345; 100 000 000,0   
2363;131013; 100 000 000,0   
2488;133535; 100 000 000,0   
2797;138335; 100 000 000,0   
2803;138376; 100 000 000,0   
3057;142555; 100 000 000,0   
3128;144195; 100 000 000,0   
3136;144338; 100 000 000,0   
3242;146132; 100 000 000,0   
3424;173087; 100 000 000,0   
3643;178496; 100 000 000,0   
4033;186189; 100 000 000,0   
4419;193419; 100 000 000,0   
4624;196741; 100 000 000,0   
5363;214763; 100 000 000,0   
5464;217537; 100 000 000,0   
6186;227726; 100 000 000,0   
9471;274387; 100 000 000,0   
10438;296168; 100 000 000,0   
4260;190918; 100 000 000,0   
4783;200433; 100 000 000,0   
5028;206559; 100 000 000,0   
7130;240850; 100 000 000,0   
126;27430; 98 000 000,0   
10113;287908; 95 371 578,0   
35;18524; 95 000 000,0   
675;45685; 95 000 000,0   
3786;181059; 95 000 000,0   
2157;128105; 95 000 000,0   
107;26889; 94 000 000,0   
320;29057; 94 000 000,0   
531;39186; 94 000 000,0   
532;39187; 94 000 000,0   
3074;142913; 94 000 000,0   
3447;173528; 93 811 164,0   
119;27070; 93 000 000,0   
383;29291; 93 000 000,0   
3815;181716; 93 000 000,0   
482;35144; 92 000 000,0   
929;53096; 92 000 000,0   
1290;59011; 92 000 000,0   
3793;181111; 92 000 000,0   
149;27770; 90 000 000,0   
257;28795; 90 000 000,0   
261;28817; 90 000 000,0   
290;28931; 90 000 000,0   
625;44237; 90 000 000,0   
795;48856; 90 000 000,0   
1071;55983; 90 000 000,0   
1396;60580; 90 000 000,0   
1888;118961; 90 000 000,0   
2063;126247; 90 000 000,0   
2112;127179; 90 000 000,0   
3667;178974; 90 000 000,0   
4275;191035; 90 000 000,0   
4311;191904; 90 000 000,0   
5049;206710; 90 000 000,0   
5097;207874; 90 000 000,0   
5218;210318; 90 000 000,0   
5824;223199; 90 000 000,0   
2056;126112; 90 000 000,0   
3262;146550; 90 000 000,0   
6364;229574; 90 000 000,0   
6995;238649; 90 000 000,0   
6384;229857; 88 000 000,0   
255;28787; 88 000 000,0   
8656;262394; 87 761 988,0   
140;27448; 87 000 000,0   
724;47262; 87 000 000,0   
667;45560; 87 000 000,0   
9450;273995; 86 400 000,0   
813;49341; 86 000 000,0   
9952;284846; 85 900 000,0   
96;26857; 85 000 000,0   
146;27763; 85 000 000,0   
217;28572; 85 000 000,0   
