,nom,nconst
834,Patrick-MarioBernard,nm0076349
2909,SabineBernardi,nm0076473
3430,ClaudeBerne,nm0076646
4792,DieterBerner,nm0076679
1255,MarcosBernstein,nm0077094
5516,DennisBerry,nm0077533
4217,MarilouBerry,nm0077622
2219,FabienneBerthaud,nm0077911
1641,DianeBertrand,nm0078363
1136,RenaudBertrand,nm0078416
2189,JulieBertuccelli,nm0078465
92,EricBesnard,nm0078704
1202,ThomasBezucha,nm0080120
4917,Bharathan,nm0080245
1405,SusanneBier,nm0081540
6877,VincentBierrewaerts,nm0081620
585,EnkiBilal,nm0082094
1552,PaulFeig,nm0082450
2056,PeterBillingsley,nm0082526
4185,CharlesBiname,nm0082748
737,ThierryBinisti,nm0083015
4424,SophieBlondy,nm0083185
81,JeanneBiras,nm0083228
1165,GerardBitton,nm0084580
1627,SimoneBitton,nm0084585
6667,AaronBlaise,nm0086431
2057,ChristopheBlanc,nm0086920
119,JamieBlanks,nm0087595
587,BertrandBlier,nm0088397
6625,Jean-PierreBloc,nm0088589
2201,NeillBlomkamp,nm0088955
2586,LarsBlumers,nm0089850
4632,EdwardBoase,nm0090215
5229,RobertBober,nm0090351
3772,JamesBobin,nm0090386
3287,DominiqueBoccarossa,nm0090524
1744,SergeyBodrov,nm0091074
2002,LudiBoeken,nm0091253
5,PaulBogart,nm0091575
2560,IciarBollain,nm0093081
3305,LuizBolognesi,nm0093252
2668,FredrikBond,nm0093934
2959,BertrandBonello,nm0094274
1365,BongJoonHo,nm0094435
5230,MargauxBonhomme,nm0094521
5459,IanBonhote,nm0094524
7001,NicolasBonilauri,nm0094599
552,PascalBonitzer,nm0094726
2941,SandrineBonnaire,nm0094789
5756,AndreBonzel,nm0095298
2519,JacekBorcuch,nm0096066
3180,SebastianBorensztein,nm0096375
2474,ClaudineBories,nm0096773
2260,OleBornedal,nm0097079
2055,DerrickBorte,nm0097517
716,DaveBorthwick,nm0097529
2128,CristianoBortone,nm0097580
1635,RoseBosch,nm0097785
1332,ThierryBoscheron,nm0097806
1659,CarolineBottaro,nm0098639
6150,JuanDiegoBotto,nm0098709
167,AhmedBouchaala,nm0098867
2213,ZakiaTahiri,nm0098868
190,RachidBouchareb,nm0098953
203,PatrickBouchitey,nm0099084
4097,FeridBoughedir,nm0099276
182,LaurentBouhnik,nm0099324
602,MichelBoujenah,nm0099378
6061,LyeceBoukhitine,nm0099396
744,NicolasBoukhrief,nm0099398
6358,AntoinetteBoulat,nm0099456
1625,BouliLanners,nm0099521
2351,PascalBourdiaux,nm0099797
1112,EmmanuelBourdieu,nm0099802
492,DidierBourdon,nm0099828
1594,GillesBourdos,nm0099841
522,ManuelBoursinhac,nm0100175
898,LaurentBoutonnat,nm0100365
2743,SarahBouyain,nm0100493
1672,NouriBouzid,nm0100525
4649,XanaeBove,nm0100587
841,DavidBowers,nm0101047
47,RobBowman,nm0101385
3942,TatjanaBozic,nm0102494
3478,SergeBozon,nm0102516
1970,DanBradley,nm0103187
4063,StephenBradley,nm0103404
699,ZachBraff,nm0103785
3552,JacquesBral,nm0104146
797,PatrickBraoude,nm0105317
4538,PaddyBreathnach,nm0106456
430,CatherineBreillat,nm0106924
3807,VinkoBresan,nm0107655
606,EricBress,nm0107774
1707,JulioBressane,nm0107788
4493,PascaleBreton,nm0107896
5470,StephaneBreton,nm0107900
2214,LeeBreuer,nm0108031
1363,EricBrevig,nm0108094
1685,CraigBrewer,nm0108132
7317,LucBricault,nm0108497
1803,Jean-ClaudeBrisseau,nm0109885
2059,JoelBrisse,nm0109910
1133,StephaneBrize,nm0110300
2649,Jean-StephaneBron,nm0111379
12,PeterBrook,nm0111656
1421,AdamBrooks,nm0111845
3521,PeterBrosens,nm0112456
3751,AlanBrown,nm0112963
5744,BarryAlexanderBrown,nm0113084
691,PieterJanBrugge,nm0115764
7194,MatthiasBruhn,nm0115825
2585,SophieBruneau,nm0116097
608,ValeriaBruniTedeschi,nm0116254
3138,FrancescoBruni,nm0116263
3875,DietrichBruggemann,nm0117698
4810,EricBu,nm0117743
6135,JanBubenicek,nm0117806
3340,ChrisBuck,nm0118333
3157,DouglasBuck,nm0118348
2419,BuiThacChuyen,nm0119604
2271,StephenBurke,nm0121871
4061,DanielBurman,nm0122184
1218,CharlesBurnett,nm0122344
2262,NanetteBurstein,nm0123379
4540,JuanPabloBuscarini,nm0123931
3703,JasonBuxton,nm0125524
335,BobbyFarrelly,nm0125803
3505,BobByington,nm0125887
6791,JiriBarta,nm0126598
506,LiriaBegeja,nm0126752
1562,GillesBehat,nm0126756
7504,BettinaBohler,nm0127009
77,DominiqueCabrera,nm0127804
5310,MargaritaCadenas,nm0128159
6613,IolandeCadrin-Rossignol,nm0128301
5975,JudithCahen,nm0128621
6789,MarionCajori,nm0129145
4508,ClaudioCaligari,nm0129997
1372,BernardCampan,nm0132064
38,MartinCampbell,nm0132709
3575,RobinCampillo,nm0133028
2299,SebastianLelio,nm0133326
576,GuillaumeCanet,nm0133899
5284,JoaoCanijo,nm0133981
919,DannyCannon,nm0134176
1052,HansCanosa,nm0134396
5772,LudovicCantais,nm0134467
406,LaurentCantet,nm0134559
3623,MarilyneCanto,nm0134618
1360,AlessandroCapone,nm0135332
5120,EricCaravaca,nm0136001
3095,LeosCarax,nm0136021
1336,JulienCarbon,nm0136128
2872,CarlosCarcas,nm0136255
693,LaurentCarceles,nm0136282
523,ChristianCarion,nm0137228
1599,PierreCarles,nm0137379
1241,JoeCarnahan,nm0138620
3326,JohnCarney,nm0138805
917,NikiCaro,nm0138927
499,SteveCarr,nm0139867
1103,MartinCarranza,nm0139982
1445,ChristineCarriere,nm0140638
5344,EricCarriere,nm0140641
983,EmmanuelCarrere,nm0141127
2999,PhilippeCarrese,nm0141132
2423,Jean-MichelCarre,nm0141142
101,ThomasCarter,nm0141961
465,D.J.Caruso,nm0142286
2513,CamilledeCasabianca,nm0142674
5091,SergioCastellitto,nm0144812
4338,CarmenCastillo,nm0145033
3016,FlaviaCastro,nm0145540
1622,PeterCattaneo,nm0146341
2704,YvesCaumon,nm0146568
3271,BriceCauvin,nm0146637
2122,AlainCavalier,nm0146760
1669,FredCavaye,nm0146991
5270,FabriceCazeneuve,nm0147389
1510,IditCebula,nm0147544
3020,JosephCedar,nm0147737
1002,NachoCerda,nm0148511
71,NuriBilgeCeylan,nm0149196
584,GurinderChadha,nm0149446
1400,JustinChadwick,nm0149491
6813,PatriceChagnard,nm0149594
408,YoussefChahine,nm0149631
848,BennyChan,nm0150802
501,GordonChan,nm0150906
1512,PeterHo-SunChan,nm0151066
197,TeddyChan,nm0151125
839,JayChandrasekhar,nm0151540
4137,JinJang,nm0151733
1289,LaurentCharbonnier,nm0152790
1443,MehdiCharef,nm0152831
5349,LefterisCharitos,nm0152916
1296,LarryCharles,nm0153078
1844,AlexandreCharlot,nm0153265
3357,FrancoiseCharpiat,nm0153456
6590,YohannCharrin,nm0153499
366,EtienneChatiliez,nm0154055
2370,PascalChaumeil,nm0154312
1003,PhilippedeChauveron,nm0154385
2690,StephenChbosky,nm0154716
328,PeterChelsom,nm0155093
4422,YarrowCheney,nm0155528
4929,ChadChenouga,nm0155683
2184,LaurentChevallier,nm0156694
3104,MalikChibane,nm0157145
153,BrunoChiche,nm0157185
6077,BenoitChieux,nm0157345
1938,FredericChignac,nm0157367
957,TsaiMing-liang,nm0158857
2534,DominiqueChoisy,nm0158903
1449,NetenChokling,nm0158923
2369,LisaCholodenko,nm0158966
598,SylvainChomet,nm0158984
4889,AdityaChopra,nm0159147
3920,AlainChoquart,nm0159175
507,LaurentChouchan,nm0159318
84,ElieChouraqui,nm0159402
4160,ShawnChristensen,nm0159900
4564,MarkChristopher,nm0160602
1700,JonM.Chu,nm0160840
78,OxideChunPang,nm0161152
441,PatriceChereau,nm0161717
2716,AngeloCianci,nm0161797
1753,DerekCianfrance,nm0161834
29,DanieleCipri,nm0162668
4403,SouleymaneCisse,nm0162878
1034,EricCivanyan,nm0163011
1616,ClarkGregg,nm0163988
526,LarryClark,nm0164187
1842,ShirleyClarke,nm0164999
5701,RichardClaus,nm0165290
3476,CamilleClavel,nm0165398
1895,ThomasClay,nm0165583
4655,NoelCleary,nm0165866
6929,JericcaCleland,nm0165995
495,RonClements,nm0166256
760,HarryCleven,nm0166507
6641,JacquesCluzaud,nm0167384
2114,IssaSergeCoelo,nm0168748
735,BenoitCohen,nm0169245
1381,DanielCohen,nm0169300
7243,GregoryCohen,nm0169405
3504,JemCohen,nm0169486
2069,MichaelCohen,nm0169621
3201,RenaudCohen,nm0169699
4602,JeromeCohen-Olivar,nm0169848
1037,IsabelCoixet,nm0170043
701,DanielColas,nm0170208
467,NigelCole,nm0170719
7399,WarrenColeman,nm0171253
3152,RolandoColla,nm0171620
5851,MarcCollin,nm0172018
1308,LaurieCollyer,nm0172877
538,LaetitiaColombani,nm0172989
4688,EtienneComar,nm0173541
3520,FrancescaComencini,nm0173726
1591,LuigiComencini,nm0173728
698,BillCondon,nm0174374
1575,StijnConinx,nm0174659
754,KerryConran,nm0175775
2863,PaddyConsidine,nm0175916
5941,AnneConsigny,nm0175931
6786,BarryCook,nm0176905
827,BrianW.Cook,nm0176929
6649,DonovanCook,nm0177015
1983,ScottCooper,nm0178376
4232,RichardCopans,nm0178530
3828,GiaCoppola,nm0178886
3179,RomanCoppola,nm0178910
659,FrankCoraci,nm0178997
1235,AntonCorbijn,nm0179221
4380,JavierCorcuera,nm0179373
2254,SebastianCordero,nm0179542
1143,AntonyCordier,nm0179576
3188,EricsonCore,nm0179697
2216,YannCoridian,nm0179856
4215,ClovisCornillac,nm0180404
