,nom,ID,STARmeter,recompenses,carriere_duree,films_series
2185,MichelBallot,,,0.0,0.0,0.0
2186,CzvetanDaskalov,,,0.0,0.0,0.0
2187,JeanRochefort,nm0734000,31030.0,4.0,61.0,129.0
2188,AurelieAngoAbore,,,0.0,0.0,0.0
2189,DavidPrat,,,0.0,0.0,3.0
2190,NaamahAlva,nm3710415,1505255.0,0.0,0.0,0.0
2191,MartheKeller,nm0445715,1431.0,0.0,60.0,91.0
2192,YanisBahloul,nm5248577,3711345.0,0.0,0.0,0.0
2193,TakaakiNomi,nm4132038,780359.0,0.0,0.0,0.0
2194,MaribelVerdu,nm0893941,6116.0,1.0,37.0,80.0
2195,PerrineTourneux,nm4891270,1946823.0,0.0,0.0,0.0
2196,MariaCanale,nm4222227,231966.0,0.0,0.0,5.0
2197,YiftachKlein,nm1441832,160101.0,0.0,11.0,11.0
2198,TsuyoshiTakano,nm4553908,5829106.0,0.0,0.0,0.0
2199,HarumaMiura,nm2067218,37897.0,0.0,14.0,17.0
2200,EstebanLamothe,nm1394133,155308.0,0.0,10.0,24.0
2201,GiacomoZulian,nm4705883,9953783.0,0.0,0.0,0.0
2202,KelynaLecomte,nm4579666,10348359.0,0.0,0.0,0.0
2203,CarlenAltman,nm3054297,171922.0,0.0,4.0,3.0
2204,JoslynJensen,nm2599759,140414.0,0.0,0.0,7.0
2205,NeilMaskell,nm0556453,8137.0,0.0,26.0,46.0
2206,FabrizioBentivoglio,nm0072768,66933.0,1.0,43.0,57.0
2207,LarsEidinger,nm1955257,5124.0,0.0,15.0,66.0
2208,MamadHaiderBenchaouch,,,0.0,0.0,0.0
2209,YolandaGalocha,nm5025442,7520647.0,0.0,0.0,0.0
2210,Bobo,nm13613816,3784270.0,0.0,4.0,3.0
2211,JakeWilliams(II),,,0.0,0.0,0.0
2212,SoniaGuedes,nm0345741,2582145.0,0.0,27.0,10.0
2213,OlgaDihovichnaya,,,0.0,0.0,3.0
2214,LeonardoSbaraglia,nm0768614,24305.0,1.0,37.0,64.0
2215,MichaelLonsdale,nm0003909,9426.0,2.0,64.0,165.0
2216,DianaVreeland,,,0.0,0.0,0.0
2217,ArmandoCondolucci,nm4442049,481079.0,0.0,0.0,0.0
2218,RebeccaBenson(II),,,0.0,9.0,9.0
2219,MediSadoun,,,0.0,16.0,32.0
2220,RobrechtVandenThoren,nm1613524,203915.0,0.0,11.0,6.0
2221,BorysSzyc,nm0844371,11592.0,0.0,15.0,19.0
2222,UdoKier,nm0001424,4648.0,0.0,57.0,191.0
2223,LindsayPulsipher,nm1272826,9218.0,0.0,19.0,34.0
2224,IkoUwais,nm3299397,4909.0,0.0,15.0,18.0
2225,MarcosLuna,,,0.0,0.0,0.0
2226,AranBell,nm0068036,154911.0,0.0,22.0,5.0
2227,EphraimSykes,nm3432421,85639.0,0.0,7.0,7.0
2228,GayeGursel,nm2337097,237818.0,0.0,7.0,8.0
2229,DanielMunoz,nm0616391,217538.0,0.0,28.0,16.0
2230,ChiwetelEjiofor,nm0252230,3289.0,1.0,26.0,55.0
2231,CelineRajot,nm5097354,8915127.0,0.0,0.0,0.0
2232,TerenceStamp,nm0000654,4072.0,1.0,59.0,75.0
2233,MariaDragus,nm2661864,40069.0,0.0,11.0,24.0
2234,ArnoHintjens,,,0.0,26.0,8.0
2235,ShararehPasha,nm4356839,12673518.0,0.0,0.0,0.0
2236,AtleAntonsen,nm0031483,46929.0,0.0,16.0,10.0
2237,CharlieSheen,nm0000221,1501.0,1.0,44.0,68.0
2238,YannPeira,,,0.0,19.0,3.0
2239,JianBinChen,,,0.0,3.0,3.0
2240,JehoonLee,,,0.0,11.0,12.0
2241,MarcBarbe,nm0053903,95779.0,0.0,31.0,88.0
2242,KatiaMiran,nm3245493,142278.0,0.0,3.0,4.0
2243,KatjaKukkola,,,0.0,0.0,2.0
2244,CamilleGenaud,,,0.0,9.0,3.0
2245,RyszardRonczewski,nm0739973,730926.0,0.0,54.0,8.0
2246,JackPlotnick,nm0687443,12817.0,0.0,26.0,50.0
2247,O&#039;SheaJacksonJr.,,,,,
2248,RenaudCohen,nm0169699,1278767.0,0.0,27.0,7.0
2249,TaronEgerton,nm5473782,375.0,1.0,10.0,20.0
2250,BritMarling,nm1779870,1453.0,1.0,19.0,15.0
2251,DominiqueSchaffhauser,,,0.0,0.0,0.0
2252,HPG,,,0.0,19.0,10.0
2253,AlbinCreta,,,0.0,0.0,0.0
2254,SalvoRandone,nm0709951,261872.0,0.0,54.0,26.0
2255,SteveOram,nm1361530,26288.0,0.0,19.0,36.0
2256,LaureDeClermont-Tonnerre,,,1.0,27.0,19.0
2257,GiovannaDaddi,nm2365927,3988487.0,0.0,13.0,7.0
2258,ChristopheKarabache,,,0.0,13.0,12.0
2259,BarbaraSukowa,nm0837784,3273.0,2.0,47.0,59.0
2260,MaritSynnoveBerg,nm1374535,167931.0,0.0,4.0,2.0
2261,LaurentHasse,,,0.0,5.0,3.0
2262,CesareCremonini,nm0187375,556723.0,0.0,13.0,4.0
2263,DySaveth,nm3812591,606885.0,0.0,45.0,4.0
2264,MilaKunis,nm0005109,747.0,1.0,26.0,41.0
2265,BenoitGiros,,,0.0,24.0,33.0
2266,AmyAcker,nm0009918,1479.0,0.0,19.0,48.0
2267,SayraPlayer,nm1589271,45869.0,1.0,10.0,7.0
2268,JoshHolloway,nm0391326,1620.0,0.0,21.0,23.0
2269,RichardArmitage,nm0035514,122.0,0.0,25.0,43.0
2270,MasatoMatsuura,,,0.0,2.0,0.0
2271,AsmundHoeg,nm3821950,423132.0,0.0,0.0,2.0
2272,SlimaneDazi,nm3370158,119017.0,2.0,18.0,63.0
2273,CalebLandryJones,nm2655177,275.0,1.0,17.0,34.0
2274,ScottEastwood,nm2207222,1356.0,0.0,17.0,38.0
2275,BenVandenHeuvel,nm3759299,191222.0,0.0,0.0,0.0
2276,SebastianBanes,nm3721383,777164.0,0.0,0.0,2.0
2277,JenniferSaunders,nm0766837,2673.0,0.0,38.0,30.0
2278,SylvainDieuaide,nm2306276,508797.0,1.0,17.0,22.0
2279,BorisBeynet,nm4782407,5935989.0,0.0,5.0,5.0
2280,GeorgesBrassens,nm0105467,373749.0,0.0,24.0,4.0
2281,RacimZennadi,nm4611083,2271395.0,0.0,0.0,0.0
2282,EvelyneBrochu,nm2903342,17049.0,0.0,17.0,27.0
2283,VladimirSvirskiy,nm4549053,912967.0,0.0,2.0,3.0
2284,KyleCatlett,nm3714535,33400.0,0.0,10.0,9.0
2285,PhilippeLeGall,,,0.0,0.0,2.0
2286,YonTumarkin,nm1699158,173228.0,0.0,2.0,2.0
2288,RomaGasiorowska,nm1449921,64975.0,0.0,12.0,13.0
2289,AntoniodelaTorre,nm0209409,28545.0,3.0,30.0,63.0
2290,TamerKaradagli,,,0.0,16.0,22.0
2291,QuvenzhaneWallis,nm4832920,7205.0,1.0,11.0,8.0
2292,AiWeiwei,,,0.0,12.0,24.0
2293,MarinaAbramovic,,,0.0,17.0,12.0
2294,MichelMuller,nm0612204,57120.0,0.0,34.0,35.0
2295,VidyaBalan,nm1799038,25390.0,0.0,16.0,29.0
2296,JasonPatric,nm0000574,4349.0,0.0,37.0,48.0
2297,WagnerMoura,nm0609944,759.0,0.0,23.0,53.0
2298,JohnMcInerny,,,0.0,0.0,0.0
2299,KimKold,nm2747476,35200.0,0.0,10.0,5.0
2300,MalikBendjelloul,,,0.0,0.0,0.0
2301,FranciscaGavilan,,,0.0,9.0,11.0
2303,RyanO&#039;Nan,,,,,
2304,Tundup,,,0.0,0.0,0.0
2305,RavenAdamson,nm4622234,526776.0,0.0,0.0,0.0
2306,ElleFanning,nm1102577,560.0,1.0,23.0,61.0
2307,LaurentLafitte,nm0480850,26134.0,0.0,31.0,59.0
2308,NunoLopes,nm0519933,19054.0,0.0,20.0,29.0
2309,RickLens,,,0.0,0.0,3.0
2310,JasonBateman,nm0000867,619.0,2.0,44.0,89.0
2311,ValerioMastandrea,nm0557609,34939.0,0.0,29.0,59.0
2312,LucaArgentero,nm1565817,32251.0,0.0,15.0,31.0
2313,JuliaGarner,nm3400186,172.0,4.0,12.0,27.0
2314,IngeborgaDapkunaite,nm0200848,8362.0,0.0,33.0,31.0
2315,GurtBentvich,,,0.0,18.0,2.0
2316,BereniceBejo,nm0067367,8479.0,5.0,28.0,72.0
2317,SophieCattani,,,0.0,24.0,51.0
2318,ChristopherWalken,nm0000686,1197.0,2.0,54.0,122.0
2319,BegumAkkaya,nm3117945,101572.0,0.0,4.0,13.0
2320,ElliottPaquet,,,0.0,0.0,0.0
2321,JoelLefrancois,nm0494287,285752.0,0.0,22.0,21.0
2322,NikolaKojo,nm0463649,34734.0,0.0,17.0,17.0
2323,AnielloArena,nm4444700,220485.0,0.0,8.0,9.0
2324,VicencAltaioiMorral,,,0.0,4.0,4.0
2325,OlgunSimsek,nm15589381,2132575.0,0.0,23.0,9.0
2326,MenaShalaby,,,0.0,9.0,4.0
2327,CosimoRega,nm4877987,2617452.0,0.0,0.0,0.0
2328,DarielArrechaga,nm4884029,451508.0,0.0,0.0,0.0
2329,AdilaBendimerad,nm4941695,191324.0,0.0,13.0,8.0
2330,DavidNathan,nm10538350,4861955.0,0.0,4.0,3.0
2331,MarcinDorocinski,nm0233949,13376.0,0.0,24.0,35.0
2332,AdnanAbuWadi,,,0.0,0.0,0.0
2334,SaulWilliams,,,0.0,43.0,18.0
2335,KatalinToldi,nm4852594,1858239.0,0.0,0.0,0.0
2336,TheoAlexander,,,0.0,14.0,8.0
2337,TeresaMadruga,nm0535166,225750.0,0.0,42.0,36.0
2338,DominiqueReymond,nm0721469,129144.0,0.0,40.0,78.0
2339,NathaliaDill,nm3102213,107607.0,0.0,7.0,22.0
2340,IrandhirSantos,nm2046691,144515.0,0.0,14.0,33.0
2341,TewfikJallab,nm0416126,19789.0,0.0,29.0,28.0
2342,JoyHille,nm4677090,13007802.0,0.0,0.0,0.0
2343,JacquesBompard,,,0.0,0.0,0.0
2344,LaurenBacall,nm0000002,1763.0,5.0,67.0,59.0
2345,RyanSimpkins,nm1364532,13102.0,0.0,19.0,26.0
2346,DaxShepard,nm1009277,2968.0,0.0,17.0,30.0
2347,StephenGraham,nm0334318,1271.0,1.0,23.0,77.0
2348,HannahHoekstra,nm4142492,10996.0,1.0,9.0,21.0
2349,PascalEguisier,,,0.0,0.0,0.0
2350,EvaTruffaut,nm0874147,440433.0,0.0,47.0,17.0
2351,SihamAbdelMesseeh,,,0.0,0.0,0.0
2352,TamerLevent,nm2416236,73229.0,0.0,14.0,26.0
2353,SerbanPavlu,nm0667904,36367.0,1.0,16.0,27.0
2354,Lilly-FleurPointeaux,nm0688455,119383.0,0.0,21.0,30.0
2355,LukeEvans,nm1812656,648.0,0.0,15.0,53.0
2356,RaynaCampbell,nm1519485,90289.0,0.0,11.0,7.0
2357,AkselHennie,nm0377336,7506.0,1.0,21.0,28.0
2358,TashianaWashington,nm1680184,58872.0,0.0,8.0,11.0
2359,MissyKeating,nm4975765,340670.0,0.0,0.0,0.0
2360,DevinKelley,nm3220170,15134.0,0.0,8.0,7.0
2361,AgynessDeyn,nm2936228,13738.0,0.0,7.0,10.0
2362,IsidoraSimijonovic,nm4425740,20100.0,0.0,0.0,4.0
2363,JoshCharles,nm0001038,3901.0,0.0,32.0,50.0
2364,JackieBerroyer,nm0077449,263959.0,0.0,35.0,118.0
2365,CosminaStratan,nm4914976,46592.0,1.0,9.0,16.0
2366,HolgerAndersson,nm3300074,515549.0,0.0,0.0,0.0
2367,SaskiaRosendahl,nm4551978,18633.0,0.0,9.0,25.0
2368,EmileBerling,nm2486268,599282.0,1.0,15.0,17.0
2369,AugustDiehl,nm0225944,4625.0,0.0,25.0,70.0
2370,EmmaWatson,nm0914612,305.0,0.0,19.0,24.0
2371,JohnTurturro,nm0001806,1490.0,3.0,44.0,108.0
2372,GeoffreyRush,nm0001691,2850.0,5.0,38.0,49.0
2373,AniaSvetovaya,nm4044843,9393761.0,0.0,6.0,4.0
2374,DubInc,,,0.0,0.0,0.0
2375,RoseByrne,nm0126284,569.0,1.0,29.0,64.0
2376,KamilTkacz,nm5842885,441770.0,0.0,0.0,3.0
2377,JuanaAcosta,nm0010207,16645.0,0.0,16.0,46.0
2378,TinaOuedraogo,,,0.0,0.0,0.0
2379,DanteDesarthe,,,1.0,29.0,9.0
2380,ZinedineBenchenine,nm5576173,1564650.0,0.0,3.0,2.0
2381,NathalieBoutefeu,nm0100280,128255.0,0.0,31.0,71.0
2382,Arata,nm15613854,12445862.0,0.0,15.0,12.0
2383,MaisaAbdElhadi,nm3949541,37496.0,0.0,10.0,18.0
2384,RalphAmoussou,nm1958488,101558.0,0.0,18.0,32.0
2385,AbdoulKarimKonate,,,0.0,9.0,4.0
2386,LauraBenson,nm0072556,66031.0,0.0,34.0,14.0
2387,ZeYing,nm7587911,887175.0,0.0,0.0,3.0
2388,AndrasGyemant,nm5284387,230129.0,0.0,0.0,0.0
2389,GolshiftehFarahani,nm0267042,1328.0,2.0,21.0,45.0
2390,PaulineParigot,nm4283672,417839.0,0.0,11.0,11.0
2391,RobStanley,nm12902042,11679153.0,0.0,0.0,2.0
2392,JamieDornan,nm1946193,191.0,2.0,17.0,31.0
2393,AzizeDiabateAbdoulaye,nm5368103,1100668.0,0.0,12.0,11.0
2394,PhoebeFox,nm4555381,4382.0,0.0,10.0,15.0
2395,RobbieColtrane,nm0001059,3042.0,1.0,36.0,72.0
2396,ValerieBonneton,nm0094993,82986.0,0.0,29.0,53.0
2397,DenisMenochet,nm1616970,4870.0,1.0,21.0,70.0
2398,OlafurDarriOlafsson,nm0959963,2588.0,0.0,23.0,45.0
2400,LuisCarlosGuevara,nm5011867,11009970.0,0.0,0.0,0.0
2401,IsaoNatsuyagi,nm0622409,100744.0,0.0,50.0,26.0
2402,ThereseClerc,nm1742752,1555085.0,0.0,0.0,2.0
2403,LeiHao,nm1165040,243898.0,0.0,15.0,11.0
2404,AbdelhakimRachid,nm5551244,230460.0,0.0,0.0,0.0
2405,SouleymaneSeyeNdiaye,nm5343397,411103.0,0.0,8.0,5.0
2406,NurlanBaitasov,,,0.0,0.0,0.0
2407,TessaIa,nm1671609,19976.0,0.0,13.0,13.0
2408,MichaelB.Jordan,nm0430107,1227.0,0.0,26.0,59.0
2409,AnitaLecollinet,nm4317644,4267872.0,0.0,0.0,2.0
2410,NicolasOrzella,nm4770217,902946.0,0.0,0.0,0.0
2411,AsiaNaifeld,nm4536815,545413.0,0.0,2.0,3.0
2412,DharshanDharmaraj,nm2897413,570804.0,0.0,4.0,2.0
2413,Jean-PatrickKone,nm5627847,13143718.0,0.0,0.0,0.0
2414,CelineFarmachi,nm5275844,948119.0,0.0,9.0,0.0
2415,Noor.,,,0.0,0.0,0.0
2416,DavidMurgia,nm3446039,219588.0,1.0,13.0,17.0
2417,FabriceAbraham,,,0.0,15.0,11.0
2418,RoyAssaf,,,0.0,9.0,13.0
2419,LeonelArancibia,nm4797686,1356170.0,0.0,0.0,0.0
2420,TeresaRamirezAguirre,nm4637023,971724.0,0.0,0.0,0.0
2421,ManojBajpai,,,0.0,6.0,9.0
2422,NabilAsli,,,0.0,12.0,8.0
2423,BabakHamidian,nm1954434,120589.0,0.0,7.0,12.0
2424,JayWeidner,,,0.0,4.0,3.0
2425,MarkBurnham,nm0122511,40232.0,0.0,24.0,12.0
2426,NestorGuzzini,nm2255680,579450.0,0.0,12.0,15.0
2427,JoghisSeudinArias,nm5090101,1837980.0,0.0,0.0,0.0
2428,ChristianVadim,nm0883007,61912.0,0.0,41.0,59.0
2429,DreamaWalker,nm2439111,5416.0,0.0,15.0,29.0
2430,MargareteTiesel,nm1249263,66188.0,0.0,7.0,9.0
2431,AndySerkis,nm0785227,1478.0,1.0,34.0,94.0
2432,ChrisO&#039;Dowd,,,,,
2433,MarijaPikic,nm3626876,68515.0,1.0,1.0,3.0
2434,JonFoo,,,0.0,14.0,13.0
2435,MichelDelpech,,,0.0,0.0,3.0
2436,HeloiseGodet,nm0323938,161658.0,0.0,8.0,8.0
2437,CarolineDucey,nm0239764,23105.0,0.0,27.0,51.0
2438,HughBonneville,nm0095017,3443.0,0.0,30.0,88.0
2439,WaadMohammed,nm5179652,124184.0,0.0,0.0,0.0
2440,BriceFournier,,,0.0,16.0,29.0
2441,NikolajCoster-Waldau,nm0182666,1215.0,0.0,29.0,60.0
2442,NormanThavaud,,,0.0,11.0,13.0
2443,ThomasNgijol,,,1.0,13.0,10.0
2444,MalinBuska,nm4274360,19687.0,0.0,10.0,6.0
2445,FrancoisHollande,nm1186879,220172.0,0.0,13.0,11.0
2446,AaronPaul,nm0666739,1201.0,1.0,25.0,62.0
2447,NicholasJacob,nm4966502,86579.0,0.0,5.0,4.0
2448,DoriaAchour,nm1135056,553192.0,0.0,17.0,12.0
2449,TonyBenn,nm10279789,6606983.0,0.0,1.0,2.0
2450,MariaHofstatter,nm0389463,66324.0,0.0,31.0,32.0
2451,AlexandreLaigner,,,0.0,11.0,6.0
2452,EduardFernandez,nm0273464,18137.0,1.0,24.0,61.0
2453,LeeJung-Jin,nm1050125,54867.0,0.0,0.0,4.0
2454,CarineRoitfeld,,,0.0,0.0,0.0
2455,KateSpicer,,,0.0,0.0,0.0
2456,AnnaKendrick,nm0447695,346.0,0.0,20.0,49.0
2457,FlorenceLoiret-Caille,,,,,
2458,FelixBossuet,,,0.0,5.0,10.0
2459,BaotianLi,nm0508349,244482.0,0.0,24.0,6.0
2460,SebastianArce,nm1235082,957616.0,0.0,14.0,2.0
2461,ShahenJamal,nm4471187,5960797.0,0.0,0.0,0.0
2462,SophieSirere,,,0.0,0.0,0.0
2463,AlexanderSkarsgard,nm0002907,37.0,3.0,40.0,47.0
2464,TomiUngerer,,,0.0,13.0,0.0
2465,ElyasM&#039;Barek,,,,,
2466,MaxBoublil,nm0991511,150770.0,0.0,23.0,43.0
2467,HayleyJoanneBacon,,,0.0,1.0,5.0
2468,FrancisHalle,,,0.0,0.0,2.0
2469,TomSchilling,nm0771713,14794.0,0.0,24.0,54.0
2470,MarineVacth,nm4297691,10633.0,1.0,11.0,16.0
2471,IsabelleSoubaigne,,,0.0,0.0,0.0
2472,EmirSeghir,nm3315901,3064621.0,0.0,7.0,6.0
2473,LaurenceArne,,,0.0,14.0,24.0
2474,MalikBarnhardt,nm1271219,82228.0,0.0,16.0,12.0
2475,VirginieEfira,nm1812637,5258.0,2.0,18.0,45.0
2476,LouLesage,,,0.0,9.0,7.0
2477,CherienDabis,nm1435062,22235.0,1.0,19.0,16.0
2478,OriPfeffer,nm1035854,31282.0,0.0,23.0,32.0
2479,PatrickRidremont,,,3.0,23.0,16.0
2480,AngelaDavis,nm1685407,5377245.0,0.0,48.0,18.0
2481,JohnHurt,nm0000457,2414.0,4.0,55.0,142.0
2482,SergeDassault,,,0.0,0.0,0.0
2483,ValLauren,nm0491082,61144.0,0.0,18.0,18.0
2484,JulianeKohler,nm0477810,43250.0,1.0,24.0,61.0
2485,MaryMargaretO&#039;Hara,,,,,
2486,NickOfferman,nm0644406,1059.0,2.0,27.0,78.0
2487,VirginieLegeay,,,0.0,14.0,5.0
2488,CindyScrash,nm3451483,1181176.0,0.0,3.0,3.0
2489,PhilippHochmair,nm0387832,57539.0,0.0,24.0,61.0
2490,DeclanConneely,,,0.0,0.0,0.0
2491,TeresaSanchez,nm0845185,12223974.0,0.0,15.0,11.0
2492,PatricChiha,,,1.0,17.0,8.0
2493,LolaBessis,,,0.0,8.0,10.0
2494,NeslihanAtagul,nm3744351,17989.0,0.0,4.0,11.0
2495,ReemKherici,nm3372724,34354.0,0.0,16.0,21.0
2496,NatalieDessay,nm0221745,226830.0,0.0,7.0,8.0
2497,EricPittard,,,0.0,33.0,6.0
2498,PierreArditi,nm0034079,41721.0,3.0,56.0,158.0
2499,TessaThompson,nm1935086,1299.0,0.0,19.0,50.0
2500,CidaMoreira,,,0.0,4.0,8.0
2501,AndreiMateiu,,,0.0,0.0,2.0
2502,NerminaLukac,nm4723934,137931.0,0.0,0.0,2.0
2503,FilippoScicchitano,nm4274759,94066.0,0.0,8.0,7.0
2504,AureliaPoirier,,,0.0,8.0,15.0
2505,HadasYaron,nm2481725,45690.0,1.0,14.0,9.0
2506,AliSuliman,nm1846124,15718.0,0.0,27.0,35.0
2507,JuliaVolpato,nm4976192,4040604.0,0.0,0.0,0.0
2508,DjamilaSahraoui,,,2.0,38.0,4.0
2509,FrancescaRiso,nm5174990,1424593.0,0.0,4.0,2.0
2510,GretelSieveking,,,0.0,0.0,0.0
2511,RebeccaJenkins,nm0420953,56876.0,0.0,22.0,22.0
2512,NonyGeffen,nm4177351,955405.0,1.0,0.0,2.0
2513,AndreaBrusque,nm2807708,1067570.0,0.0,11.0,14.0
2514,StephanJames,nm4150847,13309.0,0.0,12.0,29.0
2515,HarryStyles,nm4089170,2027.0,0.0,8.0,7.0
2516,PanagiotisGrigoriou,,,0.0,0.0,0.0
2517,ChristophWaltz,nm0910607,905.0,9.0,46.0,94.0
2518,AngeloDebarre,,,0.0,0.0,0.0
2519,ValentinBonhomme,nm5592710,4754497.0,0.0,7.0,5.0
2520,EnricoSilvestrin,,,0.0,15.0,7.0
2521,LeBronJames,nm1429908,14203.0,0.0,18.0,11.0
2522,AlejandroAwada,nm0043389,120802.0,0.0,24.0,24.0
2523,PierreDeladonchamps,nm1731624,32998.0,2.0,20.0,43.0
2524,EmmanuelFakoko,nm5329884,2650236.0,0.0,0.0,0.0
2525,FrancoisRuffin,,,1.0,9.0,4.0
2526,VildeZeiner,nm4935995,551293.0,0.0,0.0,0.0
2527,CallumTurner,nm4360085,20.0,0.0,12.0,24.0
2528,HugoSilva,nm1281229,19742.0,0.0,19.0,52.0
2529,SofiaManousha,,,0.0,11.0,20.0
2530,AnnaFischer,nm1389342,102108.0,0.0,15.0,43.0
2531,PaulHamy,nm5524273,84216.0,1.0,11.0,32.0
2532,PaulBartel(II),,,1.0,12.0,20.0
2533,TerenceNance,,,0.0,11.0,6.0
2534,KyokoKoizumi,nm0463592,137481.0,0.0,17.0,15.0
2535,JaumeTorreguitart,,,0.0,0.0,0.0
2536,RafaelDelgadoCorrea,,,0.0,5.0,2.0
2537,AshleyCahill,nm2335689,202972.0,0.0,0.0,0.0
2538,IaSukhitashvili,nm2099014,373553.0,0.0,8.0,9.0
2539,AronDimeny,nm1237560,310181.0,0.0,18.0,4.0
2540,JoeyStarr,nm0823536,81117.0,1.0,21.0,46.0
2541,YosefCarmon,,,0.0,16.0,8.0
2542,MicheleRiondino,nm1494072,37155.0,0.0,15.0,23.0
2543,JonnyWeston,nm4103976,14682.0,0.0,7.0,15.0
2544,AndrewJacobs,nm5594209,40936.0,0.0,0.0,6.0
2545,DmitriyKobetskoy,nm5176237,1947611.0,0.0,0.0,0.0
2546,BenjaminMurmelstein,,,0.0,0.0,0.0
2547,PaolaLattus,nm2802458,850001.0,0.0,9.0,12.0
2548,LivUllmann,nm0880521,9614.0,0.0,64.0,62.0
2549,MelanieLenz,nm15167455,11530429.0,0.0,0.0,0.0
2550,SouleymaneDeme,nm5632018,3271113.0,0.0,0.0,2.0
2551,NaderSarhan,nm5363996,11612685.0,0.0,0.0,0.0
2552,MargaritaSaldana,nm6493609,8125816.0,0.0,0.0,0.0
2553,IsabelZuaa,nm5299382,259566.0,0.0,0.0,16.0
2554,JohannesKuhnke,nm1090326,27861.0,0.0,10.0,18.0
2555,MarjaneSatrapi,,,11.0,14.0,10.0
2556,NikolajLieKaas,nm0509263,8383.0,0.0,29.0,46.0
2557,MarinaKitaeva,nm5191340,2526046.0,0.0,0.0,0.0
2558,AlexandraStewart,nm0829155,16676.0,0.0,61.0,89.0
2559,ZachGalifianakis,nm0302108,2639.0,0.0,24.0,56.0
2560,AuroreUgolin,nm2868978,7179298.0,0.0,0.0,0.0
2561,DamienBoisseau,nm0092348,675011.0,0.0,41.0,9.0
2562,XavierGallais,nm1268508,796276.0,0.0,20.0,34.0
2563,KateMoran,nm1808139,36061.0,0.0,17.0,25.0
2564,LannickGautry,nm1877162,56829.0,0.0,19.0,64.0
2565,JosephVijay,nm0897201,5498.0,0.0,11.0,12.0
2566,ChrisJ.Murray,nm3042235,249171.0,0.0,0.0,0.0
2567,LukasIonesco,,,0.0,14.0,9.0
2568,LouaneEmera,nm6303670,43861.0,2.0,7.0,7.0
2569,YangDongping,,,0.0,0.0,0.0
2570,LouAziosmanoff,nm5495693,10963934.0,0.0,0.0,0.0
2571,DaisyRidley,nm5397459,181.0,0.0,12.0,27.0
2572,LePrinceMiiaou,,,0.0,0.0,0.0
2573,JakeMacapagal,nm2276276,83965.0,0.0,0.0,5.0
2574,RichardCoyle,nm0185404,6056.0,0.0,20.0,31.0
2575,RioDewanto,nm3126674,138379.0,0.0,8.0,10.0
2576,VictorPrada,,,0.0,5.0,3.0
2577,JacquesWeber,nm0916616,44564.0,1.0,51.0,85.0
2578,MohamedElHadiBenadouda,,,0.0,0.0,0.0
2579,LucaMarinelli,nm2143950,17168.0,2.0,11.0,22.0
2580,CaroleHajj,nm4598219,559837.0,0.0,0.0,0.0
2581,AlexisZuniga,nm4098461,11288483.0,0.0,0.0,0.0
2582,MiraGrosin,,,0.0,0.0,2.0
2583,AlekseyZnamenskiy,,,0.0,0.0,2.0
2584,WimWillaert,nm0929582,60457.0,1.0,19.0,39.0
2585,ThomasBlumenthal,,,0.0,17.0,13.0
2586,AndreLeMeut,,,0.0,4.0,2.0
2587,FrancoisCaillat,,,0.0,30.0,11.0
2588,JackReynor,nm2930503,3268.0,0.0,23.0,30.0
2589,MerlinRose,,,0.0,12.0,33.0
2590,BurghartKlaussner,nm0458460,57140.0,0.0,26.0,49.0
2591,SethMacFarlane,,,0.0,24.0,23.0
2592,RaymondAubrac,,,0.0,3.0,3.0
2593,JohnBoyega,nm3915784,3459.0,1.0,13.0,29.0
2594,AmySeimetz,nm1541272,5470.0,0.0,14.0,42.0
2595,JanuaryJones,nm0005064,1300.0,0.0,22.0,31.0
2596,RonaldZehrfeld,nm1665537,27154.0,0.0,14.0,60.0
2597,AlyciaDebnam-Carey,nm1486317,1826.0,0.0,21.0,15.0
2598,PaulinaGarcia,nm1257208,24868.0,1.0,8.0,20.0
2599,Eun-ChaeJeong,,,0.0,10.0,11.0
2600,LuminitaGheorghiu,nm0315640,76166.0,0.0,27.0,17.0
2601,IrrfanKhan,nm0451234,7584.0,0.0,32.0,64.0
2602,JackO&#039;Connell,,,,,
2603,LeonidYarmolnik,nm0946473,54056.0,0.0,0.0,8.0
2604,VeerleBaetens,nm0046424,18804.0,2.0,18.0,28.0
2605,AhmadMuflehAlaeddine,,,0.0,0.0,0.0
2606,BindaNgazolo,nm5737267,1817124.0,0.0,6.0,2.0
2607,MoussaMaaskri,nm0531014,42499.0,0.0,32.0,103.0
2608,TakuyaOgushi,,,0.0,0.0,0.0
2609,AleksandarBercek,nm0073353,73752.0,0.0,40.0,11.0
2610,WajmaBahar,nm5392442,1010452.0,0.0,0.0,0.0
2611,DarleneLove,nm0522306,24944.0,0.0,32.0,6.0
2612,RyanGuzman,nm4554428,4401.0,0.0,9.0,20.0
2613,JackHuston,nm1658935,554.0,0.0,19.0,49.0
2614,GloriaPires,nm0685123,74735.0,0.0,36.0,56.0
2615,MarkWaschke,nm2409219,24886.0,0.0,15.0,63.0
2616,DefneHalman,nm1092628,281363.0,0.0,31.0,16.0
2617,TimurAidarbekov,nm5167200,1428617.0,0.0,2.0,2.0
2618,PierretteRobitaille,nm0733259,567567.0,0.0,15.0,8.0
2619,VincentMacaigne,nm0531195,28415.0,3.0,23.0,55.0
2620,NicholasWinton,nm1051211,124861.0,0.0,0.0,2.0
2621,AlfredMolina,nm0000547,2118.0,0.0,42.0,137.0
