,nom,ID,STARmeter,recompenses,carriere_duree,films_series
109,MichaelDouglas,nm0000140,1366.0,12.0,55.0,74.0
110,DenzelWashington,nm0000243,177.0,8.0,49.0,69.0
111,JacquesVilleret,nm0898317,72681.0,3.0,32.0,81.0
112,FabriceLuchini,nm0524528,34068.0,3.0,55.0,91.0
113,ChrisO&#039;Donnell,,,,,
114,MelGibson,nm0000154,289.0,5.0,47.0,92.0
115,StephaneJobert,nm0423382,566299.0,0.0,42.0,49.0
116,GlennClose,nm0000335,2146.0,5.0,49.0,85.0
117,SamuelLeBihan,nm0494078,25296.0,1.0,37.0,68.0
118,LindaBlair,nm0000304,3414.0,1.0,47.0,40.0
119,TomHanks,nm0000158,131.0,12.0,43.0,113.0
120,Jean-HuguesAnglade,nm0000767,31406.0,3.0,47.0,95.0
121,WinonaRyder,nm0000213,677.0,1.0,37.0,65.0
122,PatrickLigardes,nm0509876,215300.0,0.0,28.0,52.0
123,ChristopherLambert,nm0000483,2431.0,5.0,43.0,85.0
124,RichardAnconina,nm0025857,141065.0,2.0,41.0,53.0
125,FernandoFernanGomez,nm0273178,51002.0,3.0,55.0,141.0
126,CatherineRouvel,nm0746164,61703.0,0.0,59.0,75.0
127,EricCaravaca,nm0136001,228245.0,2.0,35.0,90.0
128,DenisPodalydes,nm0687914,79614.0,0.0,35.0,154.0
129,PatrickTimsit,nm0863816,129018.0,0.0,38.0,67.0
130,SamiBouajila,nm0098793,29951.0,5.0,32.0,72.0
131,DiomaySarr,,,0.0,23.0,8.0
132,AdrienBrody,nm0004778,989.0,2.0,35.0,81.0
133,ShannonElizabeth,nm0002436,3762.0,0.0,26.0,44.0
134,TonyLeungChiu-Wai,,,1.0,42.0,78.0
135,AgnesJaoui,nm0418450,43520.0,11.0,41.0,45.0
136,LorantDeutsch,nm0222088,168531.0,3.0,28.0,66.0
137,JoshHartnett,nm0001326,387.0,0.0,24.0,61.0
138,KurtRussell,nm0000621,286.0,0.0,60.0,76.0
139,RussellCrowe,nm0000128,496.0,5.0,33.0,78.0
140,NickDamici,nm0198804,38088.0,0.0,30.0,16.0
141,SandrineKiberlain,nm0452161,20704.0,4.0,38.0,79.0
142,FejriaDeliba,nm0217148,326227.0,0.0,33.0,30.0
143,SotiguiKouyate,nm0468130,84349.0,1.0,23.0,33.0
144,HughGrant,nm0000424,994.0,4.0,41.0,65.0
145,JackNicholson,nm0000197,533.0,14.0,55.0,71.0
146,JosianeBalasko,nm0001929,36734.0,3.0,53.0,109.0
147,JackieChan,nm0000329,997.0,0.0,61.0,140.0
148,CeciledeFrance,nm0208426,4450.0,10.0,33.0,63.0
149,OmarSharif,nm0001725,6026.0,4.0,61.0,77.0
150,CatherineJacob,nm0414185,91012.0,1.0,40.0,109.0
151,PeterFerdinando,nm0272252,12826.0,0.0,17.0,25.0
152,MichelPiccoli,nm0681566,29737.0,4.0,71.0,215.0
153,PatrickBouchitey,nm0099084,99344.0,1.0,49.0,83.0
