ID;actors_score;directors_score;scenaristes_score;distrib_score;Action;Animation;Aventure;Biopic;Comedie;Comedie dramatique;Comedie musicale;Drame;Epouvante-horreur;Famille;Fantastique;Guerre;Historique;Musical;Policier;Romance;Science Fiction;Thriller;Western;France;USA;Angleterre;Autres;jour_sortie;mois_sortie;annee_sortie;day_of_week_sortie;note_presse;duree;premiere_semaine_france;Budget_dollards
280250;0,32665819600000;1,18718416900000;0,22350350500000;0,01415000000000;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;26.0;4.0;2023;2;3.8;83.0;4016;542
241480;0,40560920200000;1,00832148700000;0,31225754200000;0,02587000000000;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1.0;11.0;2016;1;3.2;98.0;102223;543
203023;0,47586169900000;1,39185326400000;0,00000000000000;0,00546000000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;28.0;11.0;2012;2;2.6;98.0;73;573
221081;0,64527821300000;1,26574070000000;0,21104742100000;0,02585000000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;29.0;7.0;2015;2;2.7;118.0;233121;600
197655;0,48727632200000;1,30132606700000;0,33298593000000;0,01724000000000;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;5.0;9.0;2012;2;3.1;93.0;20594;635
254188;0,36301278400000;0,35098693400000;0,38474900100000;0,02552000000000;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;18.0;4.0;2018;2;3.8;137.0;11365;648
232134;0,68013407700000;1,10449585500000;0,13230270400000;0,02587000000000;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2.0;3.0;2016;2;2.6;110.0;113006;675
200602;0,55269259900000;1,19537994600000;0,29958479700000;0,02587000000000;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4.0;9.0;2013;2;2.5;83.0;38837;677
254109;0,27223672100000;1,02235075300000;0,02923976600000;0,02334000000000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;7.0;2.0;2018;2;3.1;113.0;23283;700
236672;0,00000000000000;1,04365176400000;0,09044062300000;0,01086000000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;22.0;6.0;2016;2;3.0;81.0;80;727
