ID;annee;titre;premiere_semaine;budget
2477;2000;The Gift;162218;10000000
2480;2000;Resurrection;223564;10000000
2514;2000;Bring it On;93401;10000000
2585;2000;The House of Mirth;17466;10000000
2627;2000;Bamboozled;6382;10000000
2628;2000;Gun Shy;12147;10000000
9958;2002;Swept Away;4888;10000000
10093;2008;Guan lan (Kung Fu Dunk);49653;10000000
10258;2008;Sanguepazzo;20013;10000000
10384;2008;Joheunnom nabbeunnom isanghannom (The Good, the Bad and the Weird);46974;10000000
10481;2007;Goal 2: Living the Dream;50814;10000000
10839;2009;Make It Happen;97719;10000000
10934;2009;Hexe Lilli - Der Drache und das magische Buch;36603;10000000
10996;2009;The Fourth Kind;90911;10000000
11000;2009;The De2cent;139354;10000000
11036;2009;Precious: Based on the Novel 'Push' by Sapphire;61833;10000000
11098;2010;The Runaways;46727;10000000
11174;2011;Last Night;187573;10000000
11235;2010;The Joneses;46019;10000000
11362;2010;Machete;100994;10000000
11626;2010;Skyline;125200;10000000
11650;2010;Devil;10803;10000000
11827;2011;La Piel que Habito (The Skin I Live In);210313;10000000
12442;2011;Martha Marcy May Marlene;27571;10000000
12500;2011;My Week With Marilyn;102244;10000000
12675;2012;Killer Joe;61091;10000000
12694;2011;In the Land of Blood and Honey;22194;10000000
12718;2012;Friends with Kids;65517;10000000
12727;2012;Seeking a Friend for the End of the World;69082;10000000
12738;2012;The Best Exotic Marigold Hotel;101379;10000000
12846;2012;Cristiada (For Greater Glory);25606;10000000
12938;2012;House at the End of The Street;338;10000000
13123;2013;Jurassic Park (3D);115141;10000000
13189;2012;Moon Man;71214;10000000
13537;2013;The Iceman;54356;10000000
13583;2013;One Direction: This is Us;76730;10000000
13714;2013;Parkland;30776;10000000
13876;2015;Paranormal Activity: The Ghost Dimension;320059;10000000
13976;2013;Lovelace;3000;10000000
14491;2014;Big Eyes;221977;10000000
14572;2015;Insidious Chapter 3;168325;10000000
14648;2004;The Brown Bunny;14103;10000000
14952;2015;While We're Young;72362;10000000
15011;2015;Sinister 2;128072;10000000
15018;2015;The Second Best Exotic Marigold Hotel;73760;10000000
15507;2015;By The Sea;14752;10000000
15545;2015;Brooklyn;56305;10000000
15658;2016;The Boy;174621;10000000
15778;2016;Hardcore Henry;32575;10000000
15807;2016;Everybody Wants Some!!;16837;10000000
15890;2016;The Purge: Election Year;311723;10000000
15985;2016;Train to Busan;112016;10000000
16230;2016;Denial;65739;10000000
16494;2017;Split;594427;10000000
17077;2017;Everything, Everything;129162;10000000
17089;2017;Churchill;29457;10000000
17102;2017;The Beguiled (2017);177256;10000000
17108;2018;Insidious: The Last Key;293466;10000000
17359;2017;The Disaster Artist;36908;10000000
