,nom_scenaristes,recompenses_scenaristes,carriere_duree_scenaristes,films_series_scenaristes
536,FrederickWiseman,1.0,59.0,58.0
537,ChantalLauby,1.0,44.0,43.0
538,RogerAvary,2.0,32.0,13.0
539,BrianKoppelman,0.0,25.0,9.0
540,StevenSoderbergh,5.0,36.0,56.0
541,Jean-PaulRappeneau,3.0,56.0,11.0
542,StephenChow,0.0,33.0,40.0
543,AngelaSchanelec,1.0,26.0,19.0
544,Sung-SooKim,0.0,38.0,12.0
545,SylvainChomet,3.0,23.0,14.0
546,DavidBerenbaum,0.0,0.0,0.0
547,BenoitJacquot,2.0,51.0,72.0
548,ReneWeber,0.0,0.0,0.0
549,MichelBoujenah,1.0,43.0,45.0
550,BradMirman,0.0,24.0,5.0
551,PascalePouzadoux,2.0,23.0,12.0
552,ValeriaBruniTedeschi,3.0,38.0,108.0
553,JeanCosmos,0.0,51.0,2.0
554,DougHeadline,0.0,3.0,4.0
555,BrentGoldberg,0.0,11.0,0.0
556,WillGluck,0.0,23.0,22.0
557,JohnStockwell,0.0,34.0,33.0
558,SarahThorp,0.0,12.0,2.0
559,OlivierDague,0.0,5.0,0.0
560,CraigStorper,0.0,0.0,0.0
561,GeoffRodkey,0.0,0.0,0.0
562,OlgaMikhailova,0.0,0.0,0.0
563,ScottFrank,1.0,33.0,10.0
564,JohnLogan,1.0,27.0,3.0
565,PhilippeCaza,0.0,0.0,0.0
566,Kwon-taekIm,2.0,45.0,27.0
567,EliaSuleiman,4.0,29.0,16.0
568,AkiKaurismaki,4.0,37.0,49.0
569,GuillermodelToro,12.0,40.0,57.0
570,DerekHaas,0.0,20.0,2.0
571,DannyMcBride(II),0.0,22.0,2.0
572,RolandEmmerich,0.0,42.0,38.0
573,EmanueleCrialese,3.0,27.0,7.0
574,ChristopheCousin,0.0,3.0,2.0
575,SimonKinberg,0.0,19.0,8.0
576,NiaVardalos,0.0,22.0,32.0
577,AlineBroshMcKenna,0.0,27.0,5.0
578,DaveCollard,0.0,18.0,0.0
579,GavinHood,1.0,30.0,21.0
580,RegisWargnier,3.0,41.0,15.0
581,HeatherHach,0.0,9.0,0.0
582,DeanGeorgaris,0.0,20.0,0.0
583,MarcLawrence(II),0.0,32.0,5.0
584,JonathanAibel,0.0,0.0,0.0
585,AlonzoBrown,0.0,28.0,0.0
586,DarrenAronofsky,3.0,34.0,25.0
587,JayWolpert,0.0,16.0,2.0
588,BradBird,6.0,39.0,15.0
589,CyrildeGasperis,0.0,2.0,0.0
590,AlainCorneau,4.0,41.0,22.0
591,PhilippeMuyl,0.0,36.0,11.0
592,ScottKosar,0.0,0.0,0.0
593,Pik-yinTang,0.0,0.0,0.0
594,JamesGunn,1.0,27.0,18.0
595,DavidTitcher,0.0,32.0,0.0
596,FrancisPalluau,0.0,6.0,0.0
597,YannSamuell,1.0,35.0,18.0
598,KanwalSethi,0.0,0.0,4.0
599,JeanVeber,0.0,17.0,2.0
600,DavidS.Goyer,1.0,34.0,18.0
601,AlexGarland,2.0,22.0,5.0
602,SteveLong,0.0,0.0,0.0
603,MikeWhite,3.0,26.0,20.0
604,LenBlum,0.0,0.0,0.0
605,JeanBecker,2.0,68.0,24.0
606,NeilMarshall,1.0,23.0,23.0
607,RonShelton,0.0,35.0,14.0
608,ManuPayet,2.0,18.0,34.0
609,NoemieLvovsky,4.0,37.0,83.0
610,BenAffleck,14.0,43.0,90.0
611,TroyMiller,0.0,28.0,24.0
612,AnnPeacock,0.0,16.0,0.0
613,GaryRoss,0.0,36.0,11.0
614,BinWang,0.0,0.0,0.0
615,AdamCooper,0.0,16.0,2.0
616,MelGibson,5.0,47.0,92.0
617,LanceKhazei,0.0,0.0,0.0
618,MichaelDougherty,1.0,18.0,5.0
