,ID,titre_original,acteur_1,acteur_2,acteur_3,acteur_4,real_1,real_2,real_3,scen_1,scen_2,scen_3,distrib_1,distrib_2,distrib_3,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,pays,jour_sortie,mois_sortie,annee_sortie,day_of_week_sortie,note_presse,duree,premiere_semaine_france,Budget_dollards
2921,140139,Biutiful,Javier Bardem, Maricel Álvarez, Eduard Fernández, Diaryatou Daff,Alejandro González Iñárritu,,,Armando Bo, Alejandro González Iñárritu, Nicolás Giacobone,ARP Sélection,,,Drame,,,,,,,Espagne,20.0,10.0,2010.0,2.0,3.3,138.0,120923.0,5101237.0
2922,140140,Animal Kingdom,Guy Pearce, James Frecheville, Jacki Weaver, Ben Mendelsohn,David Michôd,,,David Michôd,,,ARP Sélection,,,Drame,,,,,,,Australie,27.0,4.0,2011.0,2.0,4.0,112.0,34066.0,5000000.0
2923,140162,Marching Band,Barack Obama,,,,Claude Miller, Héléna Cotinier, Pierre-Nicolas Durand,,,,Les Films du Losange,,,Documentaire,,,,,,,France,5.0,8.0,2009.0,2.0,3.3,95.0,6165.0,38106.0
2924,140223,Piano No Mori,Mayuko Fukuda, Chizuru Ikewaki, Hiroyuki Amano, Kazuko Kurosawa,Masayuki Kojima,,,Ryuta Hourai, Makoto Isshiki,,Eurozoom,,,Animation, Drame,,,,,,Japon,17.0,6.0,2009.0,2.0,3.3,101.0,10131.0,2014665.0
2925,140260,Lettre à la prison,Tahar Aïbi, Marie-Christine Lefort, Myriam Tuil, Jean-Louis Scialom,Marc Scialom,,,Marc Scialom,,,Shellac,,,Drame,,,,,,,France,2.0,12.0,2009.0,2.0,4.5,70.0,475.0,
2926,140284,Fuk Sau,Johnny Hallyday, Sylvie Testud, Simon Yam, Anthony Wong Chau-Sang,Johnnie To,,,Wai Ka-Fai, Robert Mark Kamen, Erwin Stoff,ARP Sélection,,,Action, Drame, Judiciaire, Thriller,,,,Hong-Kong,20.0,5.0,2009.0,2.0,3.8,108.0,65650.0,9720000.0
2927,140288,The Cold Light of Day,Henry Cavill, Bruce Willis, Sigourney Weaver, Verónica Echegui,Mabrouk el Mechri,,,Scott Wiper, John Petro,,SND,,,Action, Thriller,,,,,,U.S.A.,2.0,5.0,2012.0,2.0,1.5,93.0,94055.0,20000000.0
2928,140295,Un autre homme,Robin Harsch, Natacha Koutchoumov, Elodie Weber, Brigitte Jordan,Lionel Baier,,,Lionel Baier,,,Epicentre Films,,,Drame,,,,,,,Suisse,6.0,5.0,2009.0,2.0,3.2,89.0,1914.0,18099.0
2929,140296,Män som hatar kvinnor,Michael Nyqvist, Noomi Rapace, Lena Endre, Sven-Bertil Taube,Niels Arden Oplev,,,Nikolaj Arcel, Rasmus Heisterberg, Stieg Larsson,UGC Distribution,,,Policier, Thriller,,,,,,Danemark,13.0,5.0,2009.0,2.0,3.4,152.0,444618.0,13000000.0
2930,140300,A Single Man,Colin Firth, Julianne Moore, Nicholas Hoult, Matthew Goode,Tom Ford,,,David Scearce, Tom Ford, Christopher Isherwood,Mars Films,,,Drame,,,,,,,U.S.A.,24.0,2.0,2010.0,2.0,3.6,100.0,78831.0,7000000.0
2931,140302,Devil,Chris Messina, Logan Marshall-Green, Jenny O&#039;Hara, Bojana Novakovic,John Erick Dowdle,,,Brian Nelson, M. Night Shyamalan,,Universal Pictures International France,,,Fantastique, Epouvante-horreur, Thriller,,,,,U.S.A.,20.0,4.0,2011.0,2.0,1.7,80.0,10803.0,10000000.0
2932,140305,Mr. Nice,Rhys Ifans, Chloë Sevigny, David Thewlis, Elsa Pataky,Bernard Rose,,,Bernard Rose, Howard Marks,,UFO Distribution,,,Comédie dramatique,,,,,,,Grande-Bretagne,13.0,4.0,2011.0,2.0,3.0,121.0,14846.0,1673840.0
2933,140330,Pour un fils,Miou-Miou, Olivier Gourmet, Kevin Lelannier, Josse De Pauw,Alix de Maistre,,,Alix de Maistre,,,Rezo Films,,,Drame,,,,,,,France,4.0,3.0,2009.0,2.0,2.7,97.0,3629.0,22076.0
2934,140331,Rien de personnel,Jean-Pierre Darroussin, Denis Podalydès, Mélanie Doutey, Zabou Breitman,Mathias Gokalp,,,Mathias Gokalp, Nadine Lamari,,Rezo Films,,,Drame,,,,,,,France,16.0,9.0,2009.0,2.0,3.4,91.0,54641.0,425776.0
2935,140335,Did You Hear About The Morgans?,Hugh Grant, Sarah Jessica Parker, Elisabeth Moss, Sam Elliott,Marc Lawrence (II),,,Marc Lawrence (II),,,Sony Pictures Releasing France,,,Comédie, Drame, Romance,,,,,U.S.A.,20.0,1.0,2010.0,2.0,3.0,103.0,244156.0,58000000.0
2936,140392,Despues de la revolucion,Vincent Dieutre, Hugo Martinez, Raul Dolgiei, Stéphane Bousquet,Vincent Dieutre,,,,,,Shellac,,,Documentaire,,,,,,,France,28.0,4.0,2010.0,2.0,2.9,55.0,460.0,
2937,140407,Morceaux de conversations avec Jean-Luc Godard,Jean-Luc Godard, Dominique Païni, Jean Narboni, Jean-Marie Straub,Alain Fleischer,,,,,,Editions Montparnasse,,,Documentaire,,,,,,,France,21.0,1.0,2009.0,2.0,3.4,125.0,847.0,9334.0
2938,140410,Sutorejia: Mukô hadan,Yûki Chinen, Tomoya Nagase, Akio Ôtsuka, Naoto Takenaka,Masahiro Andô,,,Fumihiko Takayama,,,Beez Entertainment,,,Aventure, Animation,,,,,,Japon,27.0,5.0,2009.0,2.0,3.8,102.0,1538.0,
2939,140421,The Three Stooges,Will Sasso, Sean Hayes, Chris Diamantopoulos, Sofia Vergara,Peter Farrelly, Bobby Farrelly,,Mike Cerrone, Bobby Farrelly, Peter Farrelly,Twentieth Century Fox France,,,Comédie,,,,,,,U.S.A.,25.0,7.0,2012.0,2.0,3.0,92.0,288.0,30000000.0
2940,140436,Copacabana,Isabelle Huppert, Lolita Chammah, Aure Atika, Noémie Lvovsky,Marc Fitoussi,,,Marc Fitoussi,,,Mars Films,,,Comédie dramatique,,,,,,,France,7.0,7.0,2010.0,2.0,4.0,107.0,85719.0,
2941,140437,Chatroom,Aaron Taylor-Johnson, Imogen Poots, Matthew Beard, Hannah Murray,Hideo Nakata,,,Enda Walsh, Enda Walsh,,Diaphana Distribution,,,Thriller,,,,,,,Grande-Bretagne,11.0,8.0,2010.0,2.0,2.6,87.0,14451.0,683912.0
2942,140442,La Camara Oscura,Mirta Bogdasarian, Patrick Dell&#039;Isola, Fernando Armani, Carlos Defeo,Maria Victoria Menis,,,Maria Victoria Menis, Alejandro Fernández Murray, Angélica Gorodischer,Dulac Distribution,,,Drame,,,,,,,Argentine,29.0,7.0,2009.0,2.0,2.8,86.0,5428.0,746669.0
2943,140458,The Expendables,Sylvester Stallone, Jason Statham, Jet Li, Dolph Lundgren,Sylvester Stallone,,,Sylvester Stallone, Dave Callaham, Dave Callaham,Metropolitan FilmExport,,,Action,,,,,,,U.S.A.,18.0,8.0,2010.0,2.0,2.8,105.0,773121.0,80000000.0
2944,140459,Immortals,Henry Cavill, Mickey Rourke, Luke Evans, Stephen Dorff,Tarsem Singh,,,Charley Parlapanides, Vlas Parlapanides,,Metropolitan FilmExport,,,Action, Aventure, Fantastique,,,,,U.S.A.,23.0,11.0,2011.0,2.0,1.9,110.0,210005.0,75000000.0
2945,140467,Une affaire de nègres,,,,,Osvalde Lewat,,,Osvalde Lewat,,,Les Films du Paradoxe,,,Documentaire,,,,,,,France,23.0,9.0,2009.0,2.0,3.6,90.0,560.0,
2946,140471,Mother and Child,Naomi Watts, Annette Bening, Kerry Washington, Shareeka Epps,Rodrigo García,,,Rodrigo García,,,Haut et Court,,,Drame,,,,,,,U.S.A.,17.0,11.0,2010.0,2.0,2.9,125.0,46080.0,7000000.0
2947,140472,Gulliver's Travels,Jack Black, Jason Segel, Emily Blunt, Amanda Peet,Rob Letterman,,,Joe Stillman, Nicholas Stoller, Jonathan Swift,Twentieth Century Fox France,,,Aventure, Comédie,,,,,,U.S.A.,3.0,2.0,2009.0,1.0,1.7,85.0,303203.0,112000000.0
2948,140487,The Beaver,Mel Gibson, Jodie Foster, Anton Yelchin, Riley Thomas Stewart,Jodie Foster,,,Kyle Killen,,,SND,,,Drame,,,,,,,U.S.A.,25.0,5.0,2011.0,2.0,3.2,91.0,91336.0,21000000.0
2949,140489,Oldboy,Josh Brolin, Elizabeth Olsen, Sharlto Copley, Samuel L. Jackson,Spike Lee,,,Mark Protosevich, Garon Tsuchiya, Nobuaki Minegishi,Universal Pictures International France,,,Thriller,,,,,,,U.S.A.,1.0,1.0,2014.0,2.0,2.4,104.0,20083.0,30000000.0
2950,140493,Soul Power,Mohamed Ali, James Brown, Celia Cruz, B.B. King,Jeffrey Levy-Hinte,,,,,,Ouragan films,,,Documentaire,,,,,,,U.S.A.,10.0,6.0,2009.0,2.0,3.7,93.0,4494.0,207121.0
2951,140496,Tournée,Miranda Colclasure, Suzanne Ramsey, Dirty Martini, Julie Ann Muz,Mathieu Amalric,,,Mathieu Amalric, Philippe Di Folco, Marcelo Novais Teles,Le Pacte,,,Comédie, Drame,,,,,,France,30.0,6.0,2010.0,2.0,4.4,111.0,172154.0,3482340.0
2952,140497,Aurora,Cristi Puiu, Clara Voda, Valeria Seciu, Luminita Gheorghiu,Cristi Puiu,,,Cristi Puiu,,,Shellac,,,Drame,,,,,,,Roumanie,21.0,3.0,2012.0,2.0,3.1,181.0,735.0,2000000.0
2953,140498,Un Poison Violent,Clara Augarde, Lio, Michel Galabru, Stefano Cassetti,Katell Quillévéré,,,Katell Quillévéré, Mariette Désert,,Dulac Distribution,,,Drame,,,,,,,France,4.0,8.0,2010.0,2.0,3.5,92.0,32846.0,2160000.0
2954,140501,Une semaine sur deux (et la moitié des vacances scolaires),Mathilde Seigner, Bernard Campan, Bertille Chabert, Gregori Derangère,Ivan Calbérac,,,Ivan Calbérac,,,TFM Distribution,,,Comédie, Romance,,,,,,France,22.0,7.0,2009.0,2.0,2.4,98.0,196897.0,4091096.0
2955,140528,"Patrik, 1.5",Gustaf Skarsgård, Torkel Petersson, Thomas Ljungman, Annika Hallin,Ella Lemhagen,,,Ella Lemhagen, Michael Druker,,Equation,,,Comédie,,,,,,,Suède,7.0,10.0,2009.0,2.0,2.6,103.0,6032.0,57468.0
2956,140552,The Danish Girl,Eddie Redmayne, Alicia Vikander, Ben Whishaw, Amber Heard,Tom Hooper,,,Lucinda Coxon, David Ebershoff,,Universal Pictures International France,,,Biopic, Drame,,,,,,U.S.A.,20.0,1.0,2016.0,2.0,2.7,119.0,118481.0,15000000.0
2957,140586,The Killer Inside Me,Casey Affleck, Jessica Alba, Kate Hudson, Ned Beatty,Michael Winterbottom,,,John Curran, Jim Thompson,,Mars Films,,,Drame, Thriller,,,,,,U.S.A.,11.0,8.0,2010.0,2.0,3.1,120.0,62584.0,13000000.0
2958,140592,Baaria - La Porta del Vento,Francesco Scianna, Margareth Madé, Nicole Grimaudo, Ángela Molina,Giuseppe Tornatore,,,Giuseppe Tornatore,,,Quinta Distribution,,,Comédie dramatique,,,,,,,Italie,16.0,6.0,2010.0,2.0,1.8,150.0,15806.0,28000000.0
2959,140603,The Karate Kid,Jaden Smith, Jackie Chan, Taraji P. Henson, Tess Liu,Harald Zwart,,,Christopher Murphey, Robert Mark Kamen,,Sony Pictures Releasing France,,,Action, Drame, Famille, Arts Martiaux,,,,U.S.A.,18.0,8.0,2010.0,2.0,3.1,140.0,537271.0,40000000.0
2960,140614,Bazar,Bernadette Lafont, Lou Doillon, Pio Marmaï, Alexandra Stewart,Patricia Plattner,,,Patricia Plattner, Aude Py, Blandine Stintzy,Alfama Films,,,Comédie dramatique,,,,,,,France,2.0,12.0,2009.0,2.0,1.7,103.0,2110.0,
2961,140620,Nanny McPhee and The Big Bang,Emma Thompson, Maggie Gyllenhaal, Rhys Ifans, Ralph Fiennes,Susanna White,,,Emma Thompson, Christianna Brand,,StudioCanal,,,Comédie, Fantastique,,,,,,France,31.0,3.0,2010.0,2.0,2.5,109.0,191170.0,35000000.0
2962,140623,Despicable Me,,,,,Chris Renaud, Pierre Coffin,,Cinco Paul, Ken Daurio, Carter Goodrich,Universal Pictures International France,,,Animation,,,,,,,U.S.A.,6.0,10.0,2010.0,2.0,3.4,95.0,624640.0,69000000.0
2963,140631,World War Z,Brad Pitt, Mireille Enos, Elyes Gabel, James Badge Dale,Marc Forster,,,Matthew Michael Carnahan, J. Michael Straczynski, Drew Goddard,Paramount Pictures France,,,Action, Fantastique, Science Fiction,,,,,U.S.A.,3.0,7.0,2013.0,2.0,2.9,116.0,1212285.0,190000000.0
2964,140633,Hereafter,Matt Damon, Cécile de France, Thierry Neuvic, George McLaren,Clint Eastwood,,,Peter Morgan,,,Warner Bros. France,,,Drame, Fantastique, Thriller,,,,,U.S.A.,19.0,1.0,2011.0,2.0,2.7,128.0,776428.0,50000000.0
2965,140647,Shuga,Alnur Turgambayeva, Aidos Sagatov, Ainur Sapargali, Jassoulan Assaouov,Darezhan Omirbayev,,,,,,Accatone Distribution,,,Drame,,,,,,,kazakhstan,15.0,9.0,2010.0,2.0,3.4,88.0,187.0,
2966,140670,N'djamena City,Youssouf Djaoro, Felkissam Mahamat, Billy Josephine, Adama Raham,Issa Serge Coelo,,,Issa Serge Coelo, André Dionlar, Issa Serge Coelo,Hévadis Films,,,Drame,,,,,,,France,24.0,12.0,2008.0,2.0,3.0,90.0,166.0,
2967,140674,Dance Flick,Shoshana Bush, Damon Wayans Jr., Essence Atkins, Affion Crockett,Damien Dante Wayans,,,Keenen Ivory Wayans, Shawn Wayans, Marlon Wayans,Paramount Pictures France,,,Comédie,,,,,,,U.S.A.,28.0,10.0,2009.0,2.0,1.3,83.0,5084.0,25000000.0
2968,140675,Happy Feet Two,,,,,George Miller, David Peers, Gary Eck,George Miller, Gary Eck, Warren Coleman,Warner Bros. France,,,Animation, Comédie, Famille,,,,,Australie,7.0,12.0,2011.0,2.0,2.9,99.0,168873.0,135000000.0
