ID,Action,Animation,Aventure,Biopic,Comedie,Comedie dramatique,Comedie musicale,Drame,Epouvante-horreur,Famille,Fantastique,Guerre,Historique,Musical,Policier,Romance,Science Fiction,Thriller,Western
28914,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28915,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28918,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
28919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28920,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28921,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
28927,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
28930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28931,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28933,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
28936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
28937,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
28938,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
28941,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
28948,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
28953,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28954,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
28958,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
28963,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28967,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28968,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
28977,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28981,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28983,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
29002,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
29005,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
29006,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
29007,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
29008,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29014,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
29023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29024,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
29025,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29027,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
29039,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29044,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
29057,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
29062,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29063,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
29064,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29068,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
29069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
29071,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
29072,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
29078,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29082,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29085,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
