ID_film;titre_original;acteur_1;acteur_2;acteur_3;acteur_4;real_1;real_2;real_3;scen_1;scen_2;scen_3;scen_4;score_disctrib;genre_1;genre_2;genre_3;genre_4;genre_5;genre_6;genre_7;pays;jour_sortie;mois_sortie;annee_sortie;day_of_week_sortie;note_presse;duree;budegt_dollars;premiere_semaine_france
140162;MarchingBand;BarackObama;;;;ClaudeMiller;HelenaCotinier;Pierre-NicolasDurand;;;;;0,02516;Documentaire;;;;;;;France;5;8;2009;2;3,3;95;1756379,16;6165
140223;PianoNoMori;MayukoFukuda;ChizuruIkewaki;HiroyukiAmano;KazukoKurosawa;MasayukiKojima;;;RyutaHourai;MakotoIsshiki;;;0,02334;Animation; Drame;;;;;;Autre;17;6;2009;2;3,3;101;2014665;10131
140260;Lettrealaprison;TaharAibi;Marie-ChristineLefort;MyriamTuil;Jean-LouisScialom;MarcScialom;;;MarcScialom;;;;0,0247;Drame;;;;;;;France;2;12;2009;2;4,5;70;;475
140284;FukSau;JohnnyHallyday;SylvieTestud;SimonYam;AnthonyWongChau-Sang;JohnnieTo;;;WaiKa-Fai;RobertMarkKamen;ErwinStoff;;0,02552;Action; Drame; Judiciaire; Thriller;;;;Autre;20;5;2009;2;3,8;108;9720000;65650
140288;TheColdLightofDay;HenryCavill;BruceWillis;SigourneyWeaver;VeronicaEchegui;MabroukelMechri;;;ScottWiper;JohnPetro;;;0,02585;Action; Thriller;;;;;;USA;2;5;2012;2;1,5;93;20000000;94055
140295;Unautrehomme;RobinHarsch;NatachaKoutchoumov;ElodieWeber;BrigitteJordan;LionelBaier;;;LionelBaier;;;;0,02284;Drame;;;;;;;Autre;6;5;2009;2;3,2;89;18099;1914
140296;Mansomhatarkvinnor;MichaelNyqvist;NoomiRapace;LenaEndre;Sven-BertilTaube;NielsArdenOplev;;;NikolajArcel;RasmusHeisterberg;StiegLarsson;;0,02266;Policier; Thriller;;;;;;Autre;13;5;2009;2;3,4;152;13000000;444618
140300;ASingleMan;ColinFirth;JulianneMoore;NicholasHoult;MatthewGoode;TomFord;;;DavidScearce;TomFord;ChristopherIsherwood;;0,02658;Drame;;;;;;;USA;24;2;2010;2;3,6;100;7000000;78831
140302;Devil;ChrisMessina;LoganMarshall-Green;"JennyO&#039;Hara";BojanaNovakovic;JohnErickDowdle;;;BrianNelson;M.NightShyamalan;;;0,02973;Fantastique; Epouvante-horreur; Thriller;;;;;USA;20;4;2011;2;1,7;80;10000000;10803
140305;Mr.Nice;RhysIfans;ChloeSevigny;DavidThewlis;ElsaPataky;BernardRose;;;BernardRose;HowardMarks;;;0,01724;Comedie dramatique;;;;;;;Autre;13;4;2011;2;3;121;1673840;14846
140330;Pourunfils;Miou-Miou;OlivierGourmet;KevinLelannier;JosseDePauw;AlixdeMaistre;;;AlixdeMaistre;;;;0,02334;Drame;;;;;;;France;4;3;2009;2;2,7;97;2501133,12;3629
140331;Riendepersonnel;Jean-PierreDarroussin;DenisPodalydes;MelanieDoutey;ZabouBreitman;MathiasGokalp;;;MathiasGokalp;NadineLamari;;;0,02334;Drame;;;;;;;France;16;9;2009;2;3,4;91;1501706,52;54641
140335;DidYouHearAboutTheMorgans?;HughGrant;SarahJessicaParker;ElisabethMoss;SamElliott;MarcLawrence(II);;;MarcLawrence(II);;;;0,02583;Comedie; Drame; Romance;;;;;USA;20;1;2010;2;3;103;58000000;244156
140392;Despuesdelarevolucion;VincentDieutre;HugoMartinez;RaulDolgiei;StephaneBousquet;VincentDieutre;;;;;;;0,0247;Documentaire;;;;;;;France;28;4;2010;2;2,9;55;;460
140407;MorceauxdeconversationsavecJean-LucGodard;Jean-LucGodard;DominiquePaini;JeanNarboni;Jean-MarieStraub;AlainFleischer;;;;;;;0,00632;Documentaire;;;;;;;France;21;1;2009;2;3,4;125;9334;847
140410;Sutorejia:Mukohadan;YukiChinen;TomoyaNagase;AkioOtsuka;NaotoTakenaka;MasahiroAndo;;;FumihikoTakayama;;;;0,00346;Aventure; Animation;;;;;;Autre;27;5;2009;2;3,8;102;;1538
140421;TheThreeStooges;WillSasso;SeanHayes;ChrisDiamantopoulos;SofiaVergara;PeterFarrelly;BobbyFarrelly;;MikeCerrone;BobbyFarrelly;PeterFarrelly;;0,02846;Comedie;;;;;;;USA;25;7;2012;2;3;92;30000000;288
140436;Copacabana;IsabelleHuppert;LolitaChammah;AureAtika;NoemieLvovsky;MarcFitoussi;;;MarcFitoussi;;;;0,02658;Comedie dramatique;;;;;;;France;7;7;2010;2;4;107;3744444,24;85719
140437;Chatroom;AaronTaylor-Johnson;ImogenPoots;MatthewBeard;HannahMurray;HideoNakata;;;EndaWalsh;EndaWalsh;;;0,02412;Thriller;;;;;;;Autre;11;8;2010;2;2,6;87;683912;14451
140442;LaCamaraOscura;MirtaBogdasarian;"PatrickDell&#039;Isola";FernandoArmani;CarlosDefeo;MariaVictoriaMenis;;;MariaVictoriaMenis;AlejandroFernandezMurray;AngelicaGorodischer;;0,02281;Drame;;;;;;;Autre;29;7;2009;2;2,8;86;746669;5428
