ID,actors_score,directors_score,scenaristes_score,distrib_score,Action,Animation,Aventure,Biopic,Comedie,Comedie dramatique,Comedie musicale,Drame,Epouvante-horreur,Famille,Fantastique,Guerre,Historique,Musical,Policier,Romance,Science Fiction,Thriller,Western,France,USA,Angleterre,Autres,jour_sortie,mois_sortie,day_of_week_sortie,note_presse,duree,premiere_semaine_france,budget_dollars
221280,0.112229262,1.529808934,0.597186034,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,26,6,2,2.6,93,152,76
238215,0.694637827,0.445302163,0.168316832,0.01333,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,8,2,2.5,95,914,108
241991,0.434550357,1.709465089,0.790168491,0.0247,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,9,3,2,3.3,97,1333,118
262149,0.182864408,0.970462084,0.029239766,0.01158,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,15,5,2,2.7,118,406,122
273171,0.448963715,1.154286749,0.183602571,0.01526,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,10,2,2.8,92,763,152
290161,0.460166905,1.190487294,0.224538243,0.01158,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,3,2,3.0,100,334,162
191450,0.0,0.227985156,0.0,0.00912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27,4,2,3.2,85,1662,180
184372,0.000859107,1.054565587,0.199351514,0.00559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,11,2,2.6,120,6032,185
294002,0.0,0.365172586,0.0,0.01699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,10,2,3.2,90,295,199
286141,0.268395819,1.02139874,0.02744485,0.02093,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,4,2,2.9,90,414,200
138473,0.546040714,1.352272002,0.300619536,0.02583,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,10,10,2,1.8,112,941871,200
209174,0.0,1.255146771,0.227722772,0.02846,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,4,2,3.2,94,311292,200
228466,0.134180791,1.183108187,0.239715652,0.0261,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28,1,2,3.8,91,12564,200
264010,0.331085424,0.0,0.0,0.02134,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,9,2,3.8,80,32198,216
236404,0.411975823,0.988994069,0.023391813,0.01461,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,2,2,3.1,83,106,216
197998,0.0,0.429832346,0.0,0.00575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,11,2,2.9,87,449,216
253318,0.0,1.071962062,0.0,0.01731,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,12,2,3.6,88,48816,220
272008,0.717382666,2.015662689,0.0,0.02324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,4,2,3.0,75,88,250
