,ID_x,titre_original,acteur_1,acteur_2,acteur_3,acteur_4,real_1,real_2,real_3,scen_1,scen_2,scen_3,scen_4,score_disctrib,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,pays,jour_sortie,mois_sortie,annee_sortie,day_of_week_sortie,note_presse,duree,premiere_semaine_france,Budget_dollards,ID_y,annee,titre,premiere_semaine,budget
5649,221110,MagicalGirl,JoseSacristan,BarbaraLennie,LuisBermejo,LuciaPollan,CarlosVermut,,,CarlosVermut,,,,"0,01549",Drame, Thriller,,,,,,Espagne,12.0,8.0,2015.0,2.0,3.6,127.0,22674.0,213782.0,,,,,
5650,221135,Toretanzt,JuliusFeldmeier,SaschaAlexanderGersak,AnnikaKuhl,GroSwantjeKohlhof,KatrinGebbe,,,KatrinGebbe,,,,"0,01724",Drame, Thriller,,,,,,Allemagne,25.0,6.0,2014.0,2.0,2.7,110.0,903.0,507600.0,,,,,
5651,221163,ItFeltlikelove,GinaPiersanti,RonenRubinstein,GiovannaSalimeni,JesseCordasco,ElizaHittman,,,ElizaHittman,,,,"0,02472",Drame,,,,,,,U.S.A.,17.0,7.0,2013.0,2.0,2.9,83.0,1326.0,33817.0,,,,,
5652,221166,Bonretablissement!,GerardLanvin,FredTestot,Jean-PierreDarroussin,SwannArlaud,JeanBecker,,,Marie-SabineRoger,JeanBecker,Jean-LoupDabadie,,"0,02585",Comédie,,,,,,,France,17.0,9.0,2014.0,2.0,3.0,81.0,212122.0,8640000.0,14471.0,2014.0,Bonretablissement!,212122.0,"8645999,4"
5653,221172,Macbeth,MichaelFassbender,MarionCotillard,DavidThewlis,PaddyConsidine,JustinKurzel,,,ToddLouiso,JacobKoskoff,MichaelLesslie,,"0,02587",Drame,,,,,,,Grande-Bretagne,18.0,11.0,2015.0,2.0,3.2,113.0,41081.0,,,,,,
5654,221180,LaChambreBleue,MathieuAmalric,LeaDrucker,StephanieCleau,LaurentPoitrenaux,MathieuAmalric,,,MathieuAmalric,StephanieCleau,GeorgesSimenon,,"0,01481",Policier, Drame, Thriller,,,,,France,16.0,5.0,2014.0,4.0,3.9,76.0,52453.0,254666.0,,,,,
5655,221207,Jimmy'sHall,BarryWard,SimoneKirby,AndrewScott,JimNorton,KenLoach,,,PaulLaverty,DonalO&#039;Kelly,,,"0,02668",Drame, Historique,,,,,,Grande-Bretagne,2.0,7.0,2014.0,2.0,3.4,109.0,141610.0,7464919.0,14341.0,2014.0,Jimmy'sHall,141610.0,"7464918,96"
5656,221216,IOrigins,MichaelPitt,BritMarling,AstridBerges-Frisbey,StevenYeun,MikeCahill,,,MikeCahill,,,,"0,02846",Drame, Science Fiction,,,,,,U.S.A.,24.0,9.0,2014.0,2.0,3.0,106.0,1020.0,1000000.0,,,,,
5657,221240,SMS,GuillaumeDeTonquedec,GeraldinePailhas,AnneMarivin,FranckDubosc,GabrielJulien-Laferriere,,,GabrielJulien-Laferriere,LaurentBenegui,,,"0,03340",Comédie,,,,,,,France,20.0,8.0,2014.0,2.0,2.4,84.0,170860.0,,13773.0,2014.0,SMS,170860.0,"8566943,4"
5658,221242,LesConquerants,MathieuDemy,DenisPodalydes,ChristianCrahay,JulieKapour,XabiMolia,,,XabiMolia,,,,"0,02610",Comédie,,,,,,,France,25.0,9.0,2013.0,2.0,3.3,96.0,12499.0,89451.0,13757.0,2013.0,LesConquerants,12499.0,"2702631,96"
