,real,freq
299,L'atelier d'images,"0,004395604"
300,Laterit distribution,"0,004415011"
301,Les Films Bonnette et Minette,"0,00443459"
302,Les Films de l'Envers,"0,004454343"
303,Les Films du Lendemain,"0,004474273"
304,Les Films du Marigot,"0,004494382"
305,Les Films Elémentaires,"0,004514673"
306,Les Grands Espaces,"0,004535147"
307,Les Grands Films Classiques,"0,004555809"
308,Luminor,"0,004576659"
309,M2R Films,"0,004597701"
310,M6 Vidéo,"0,004618938"
311,Mag Distribution,"0,004640371"
312,Mandragora,"0,004662005"
313,Mary-X Distribution,"0,004683841"
314,MK2 ,"0,004705882"
315,Mob productions,"0,004728132"
316,Noé Productions,"0,004750594"
317,Opening Distribution,"0,00477327"
318,Pathé ,"0,004796163"
319,Point du jour,"0,004819277"
320,Quizas Prod,"0,004842615"
321,Régie Sud,"0,00486618"
322,Rogue Pictures,"0,004889976"
323,Seven Light,"0,004914005"
324,Singularis Films,"0,004938272"
325,Sony Pictures Home Entertainment,"0,004962779"
326,Swashbuckler Films,"0,004987531"
327,Takami Distribution,"0,005012531"
328,Tangente Distribution,"0,005037783"
329,Tchoko-Tchoko Productions,"0,005063291"
330,To Be Continued,"0,005089059"
331,Tucuman Films,"0,00511509"
332,UFO Distribution ,"0,005141388"
333,Ululato,"0,005167959"
334,UPL Films Distributions,"0,005194805"
335,Vision Distribution,"0,005221932"
336,Zylo,"0,005249344"
337, Alba Films,"0,002638522"
338, ARP Sélection,"0,002645503"
339, AZ Films,"0,00265252"
340, Capricci,"0,002659574"
341, Chrysalis Films,"0,002666667"
342, Commune Image Médias,"0,002673797"
343, Condor,"0,002680965"
344, Dahu Production,"0,002688172"
345, Dean Medias,"0,002695418"
346, DistriB Films,"0,002702703"
347, Films Distribution,"0,002710027"
348, Fodivina Films,"0,002717391"
349, French Distribution,"0,002724796"
350, Help Distribution,"0,00273224"
351, Help! Distribution,"0,002739726"
352, Jour2fete,"0,002747253"
353, La Huit Distribution,"0,002754821"
354, Latitude 49,"0,002762431"
355, Liberté Films,"0,002770083"
356, Ligne 7,"0,002777778"
357, Marco Polo Production,"0,002785515"
358, Mars Films,"0,002793296"
359, MUBI,"0,00280112"
360, New Story,"0,002808989"
361, Paname Distribution,"0,002816901"
362, Potemkine Films,"0,002824859"
363, PREMIUM FILMS,"0,002832861"
364, Pyramide Distribution,"0,002840909"
365, Remora Films,"0,002849003"
366, Seven 7,"0,002857143"
367, Tandem,"0,00286533"
368, The Dark,"0,002873563"
369, Tprod distribution,"0,002881844"
370, Trésor Cinéma,"0,002890173"
371, Urban Distribution,"0,002898551"
372, Version Originale ,"0,002906977"
373, Why Not Productions,"0,002915452"
374, Wide,"0,002923977"
375, Wild Bunch Distribution,"0,002932551"
376, Zootrope Films,"0,002941176"
377,11-déc,"0,002949853"
378,2017 Films,"0,00295858"
379,21films,"0,002967359"
380,2BST FILMS,"0,00297619"
381,3L Films,"0,002985075"
382,8½ Distribution,"0,002994012"
383,9ème Dimension,"0,003003003"
384,À perte de vue,"0,003012048"
385,À Vif Cinémas ,"0,003021148"
386,a.p.r.e.s distribution,"0,003030303"
387,Acajou Films,"0,003039514"
388,Accattone Distribution,"0,00304878"
389,Acrobates Films,"0,003058104"
