distrib_score,Action,Animation,Aventure,Biopic,Comedie,Comedie dramatique,Comedie musicale,Drame,Epouvante-horreur,Famille,Fantastique,Guerre,Historique,Musical,Policier,Romance,Science Fiction,Thriller,Western,France,USA,Angleterre,Autres,jour_sortie,mois_sortie,day_of_week_sortie,note_presse,duree,premiere_semaine_france,budget_dollars,acteur_score,directors_score,scenarist_score,nombre_jour,jour_sortie_norm,cos_jour_mois,sin_jour_mois,cos_mois,sin_mois,cos_jour_semaine,sin_jour_semaine
0.01427,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,27,1,2,4.4,130,23745,16,1.3792667597100607,2.0800954663221045,0.948188367223819,31,0.8709677419354839,0.6889669190756865,-0.72479278722912,1.0,0.0,0.6234898018587336,0.7818314824680298
0.02266,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23,9,2,3.6,101,130241,26,3.946859711054173,1.4536475397138346,0.746106189566325,30,0.7666666666666667,0.10452846326765387,-0.9945218953682733,-0.5000000000000004,-0.8660254037844385,0.6234898018587336,0.7818314824680298
0.01422,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28,1,2,3.3,83,2084,42,1.5060340535704626,1.5143925545553574,0.0,31,0.9032258064516129,0.8207634412072763,-0.5712682150947924,1.0,0.0,0.6234898018587336,0.7818314824680298
0.02338,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,3,2,3.3,97,187681,58,3.929016353512524,1.4153267234935296,0.4867772006402677,31,0.12903225806451613,0.6889669190756866,0.72479278722912,0.5000000000000001,0.8660254037844386,0.6234898018587336,0.7818314824680298
0.02846,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25,2,2,4.0,119,263105,67,3.9321290694957995,2.309281377951361,1.0574186450903156,28,0.8928571428571429,0.7818314824680297,-0.6234898018587337,0.8660254037844387,0.49999999999999994,0.6234898018587336,0.7818314824680298
0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,26,6,2,2.6,93,152,76,1.2861272595344726,2.034396090260308,1.194372068785826,30,0.8666666666666667,0.6691306063588585,-0.743144825477394,-0.8660254037844385,0.5000000000000003,0.6234898018587336,0.7818314824680298
0.01333,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,8,2,2.5,95,914,108,4.414680748383205,0.738880144550284,0.3366336633663366,31,0.5161290322580645,-0.9948693233918952,-0.10116832198743204,-0.8660254037844388,-0.4999999999999997,0.6234898018587336,0.7818314824680298
0.0247,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,9,3,2,3.3,97,1333,118,2.607302013803883,2.214052244501318,1.5803369810665278,31,0.2903225806451613,-0.25065253225872064,0.9680771188662043,0.5000000000000001,0.8660254037844386,0.6234898018587336,0.7818314824680298
0.01158,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,15,5,2,2.7,118,406,122,1.3951176386802906,0.970462084408628,0.0584795321637426,31,0.4838709677419355,-0.9948693233918952,0.10116832198743228,-0.4999999999999998,0.8660254037844387,0.6234898018587336,0.7818314824680298
0.01526,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,10,2,2.8,92,763,152,2.967635025935892,1.2919014276073837,0.3672051415667882,31,0.6451612903225806,-0.6121059825476627,-0.7907757369376986,-1.8369701987210297e-16,-1.0,0.6234898018587336,0.7818314824680298
